cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
5.575875723567828,5136,40,39,25,269
5.734761098114485,4385,622,249,97,196
14.085800258968552,4897,201,3,145,410
11.653076655953429,5189,147,7,11,273
6.90858260317245,5158,92,17,38,191
3.3772384955367967,4926,262,90,71,208
9.855749950432193,5329,110,13,22,177
8.739210380781023,5240,145,9,69,160
5.45688469390899,4836,421,57,28,290
6.1287700310377815,5246,188,6,48,123
9.37690195940657,4762,261,10,100,472
7.662167736878523,4380,704,124,97,255
7.002368966694702,4735,412,1,76,389
8.824386589155457,4972,229,83,55,270
8.458936142895551,5073,71,14,28,475
8.030222559513359,4727,545,52,43,157
12.003147063124972,5076,51,115,89,218
5.126947529718543,5184,225,25,33,176
8.081094729277941,5126,248,2,61,219
4.946577897937929,5031,79,12,128,381
3.931629233703133,4028,931,9,296,346
9.398489891337508,4963,293,32,43,222
7.51881598706766,4520,570,71,92,303
8.874260942421387,4715,402,26,71,353
7.851147428896696,5236,99,28,41,177
14.987923117997637,5305,33,66,14,154
10.8741226644462,5174,57,51,104,205
9.780055802473383,5112,139,8,75,227
6.920454679121061,4914,89,68,62,445
9.556171701446127,4927,130,33,22,414
5.6212503371941684,4970,119,26,227,275
6.714319321027266,5200,31,5,45,230
4.073961723685019,4922,141,132,114,242
10.55970442726192,4917,168,201,66,274
7.475481265707296,5172,193,5,65,256
4.907052845622702,4600,419,26,121,352
17.69081518412228,5303,91,37,53,83
9.364568239842194,5146,58,7,22,426
7.25158442010392,4750,263,8,41,345
7.737551776981308,4923,162,23,17,423
8.078651693829825,4976,175,156,53,285
6.609261626351655,5260,114,12,63,259
6.762104402003458,4458,391,51,165,408
8.108428319608981,5112,217,12,45,134
8.787054448177944,4919,168,138,16,318
28.0904390167712,5416,122,11,31,45
18.50965089883059,5358,102,1,54,157
8.425326764303414,5117,84,19,55,259
7.147634923986737,4896,343,35,37,319
5.794862141090669,5054,196,59,48,226
12.313947565502293,5170,83,57,50,305
4.409919402824134,4979,360,39,86,240
14.173120276423555,5385,69,13,4,108
8.398215460035669,4523,520,269,63,209
6.803021849484112,5075,126,56,20,291
7.607054153570882,5019,192,91,43,318
5.246182028299708,5028,264,35,53,207
6.042026427653721,4832,468,41,25,261
9.602988922874143,5139,168,24,44,162
7.846719293151156,4968,242,136,40,231
12.396051464775875,4978,224,29,96,255
