cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
286.77041345057876,0,0,0,0,0,0,0,0,0
355.4207152965745,0,0,0,0,0,0,0,0,0
543.0381689376038,0,0,0,0,0,0,0,0,0
212.57884325694866,0,0,0,0,0,0,0,0,0
387.01790003941625,0,0,0,0,0,0,0,0,0
307.1229120750218,0,0,0,0,0,0,0,0,0
490.8628313850047,0,0,0,0,0,0,0,0,0
204.39207653094522,0,0,0,0,0,0,0,0,0
268.412379683873,0,0,0,0,0,0,0,0,0
300.24596530220106,0,0,0,0,0,0,0,0,0
391.58099256311243,0,0,0,0,0,0,0,0,0
482.51613461878327,0,0,0,0,0,0,0,0,0
313.943383397989,0,0,0,0,0,0,0,0,0
503.69247304914546,0,0,0,0,0,0,0,0,0
509.51681078840727,0,0,0,0,0,0,0,0,0
338.76339998934196,0,0,0,0,0,0,0,0,0
754.9609977928,0,0,0,0,0,0,0,0,0
513.1703025532598,0,0,0,0,0,0,0,0,0
324.1871058813524,0,0,0,0,0,0,0,0,0
456.0340301283662,0,0,0,0,0,0,0,0,0
260.41765670962303,0,0,0,0,0,0,0,0,0
303.67165601873904,0,0,0,0,0,0,0,0,0
135.67385418358063,0,0,0,0,0,0,0,0,0
334.3310099971203,0,0,0,0,0,0,0,0,0
277.34426333842646,0,0,0,0,0,0,0,0,0
454.24152636180736,0,0,0,0,0,0,0,0,0
553.0789092250426,0,0,0,0,0,0,0,0,0
256.05000768904756,0,0,0,0,0,0,0,0,0
247.01596251675076,0,0,0,0,0,0,0,0,0
361.20506268348714,0,0,0,0,0,0,0,0,0
358.9376429976882,0,0,0,0,0,0,0,0,0
316.35068732091014,0,0,0,0,0,0,0,0,0
390.98047927549135,0,0,0,0,0,0,0,0,0
301.92920841895756,0,0,0,0,0,0,0,0,0
305.9311333624398,0,0,0,0,0,0,0,0,0
375.13280257829723,0,0,0,0,0,0,0,0,0
508.44769398941435,0,0,0,0,0,0,0,0,0
152.70115206994586,0,0,0,0,0,0,0,0,0
418.2970458182783,0,0,0,0,0,0,0,0,0
278.66180551925777,0,0,0,0,0,0,0,0,0
253.9754635399201,0,0,0,0,0,0,0,0,0
424.3916078887743,0,0,0,0,0,0,0,0,0
491.5796475351266,0,0,0,0,0,0,0,0,0
275.7495438776564,0,0,0,0,0,0,0,0,0
529.9518392760136,0,0,0,0,0,0,0,0,0
261.25989174501,0,0,0,0,0,0,0,0,0
423.1117507696648,0,0,0,0,0,0,0,0,0
403.0835747481513,0,0,0,0,0,0,0,0,0
220.4809476318163,0,0,0,0,0,0,0,0,0
407.5815923274566,0,0,0,0,0,0,0,0,0
360.3770509317402,0,0,0,0,0,0,0,0,0
373.6079121378751,0,0,0,0,0,0,0,0,0
253.25185727101015,0,0,0,0,0,0,0,0,0
409.55642020446186,0,0,0,0,0,0,0,0,0
339.86909219699646,0,0,0,0,0,0,0,0,0
617.2702410418076,0,0,0,0,0,0,0,0,0
448.5978998826349,0,0,0,0,0,0,0,0,0
234.28044526275755,0,0,0,0,0,0,0,0,0
484.396341141063,0,0,0,0,0,0,0,0,0
527.5525215257304,0,0,0,0,0,0,0,0,0
309.66386189482336,0,0,0,0,0,0,0,0,0
448.0105245418663,0,0,0,0,0,0,0,0,0
320.00047624296843,0,0,0,0,0,0,0,0,0
491.3821010875478,0,0,0,0,0,0,0,0,0
115.80173872339323,0,0,0,0,0,0,0,0,0
342.44245350138294,0,0,0,0,0,0,0,0,0
147.0124184492198,0,0,0,0,0,0,0,0,0
135.74463697204652,0,0,0,0,0,0,0,0,0
409.41431943196096,0,0,0,0,0,0,0,0,0
566.7030814931497,0,0,0,0,0,0,0,0,0
440.707848968603,0,0,0,0,0,0,0,0,0
346.7549204839241,0,0,0,0,0,0,0,0,0
454.0108833032524,0,0,0,0,0,0,0,0,0
169.91318079804398,0,0,0,0,0,0,0,0,0
130.6149205919456,0,0,0,0,0,0,0,0,0
439.8126594234053,0,0,0,0,0,0,0,0,0
275.6449863599395,0,0,0,0,0,0,0,0,0
531.2871466927112,0,0,0,0,0,0,0,0,0
391.16885999853423,0,0,0,0,0,0,0,0,0
455.0924957347633,0,0,0,0,0,0,0,0,0
518.1639590667871,0,0,0,0,0,0,0,0,0
315.9101647257377,0,0,0,0,0,0,0,0,0
283.77544848603054,0,0,0,0,0,0,0,0,0
237.28319300394188,0,0,0,0,0,0,0,0,0
440.8927382587211,0,0,0,0,0,0,0,0,0
454.15971339441865,0,0,0,0,0,0,0,0,0
356.0223843918399,0,0,0,0,0,0,0,0,0
123.15551513685146,0,0,0,0,0,0,0,0,0
442.19975627689047,0,0,0,0,0,0,0,0,0
531.6094604318822,0,0,0,0,0,0,0,0,0
429.8656869667444,0,0,0,0,0,0,0,0,0
408.26516418537534,0,0,0,0,0,0,0,0,0
510.46531496558396,0,0,0,0,0,0,0,0,0
473.7108608549322,0,0,0,0,0,0,0,0,0
220.0800137631242,0,0,0,0,0,0,0,0,0
348.1872828051079,0,0,0,0,0,0,0,0,0
401.58195188671516,0,0,0,0,0,0,0,0,0
254.17493306657695,0,0,0,0,0,0,0,0,0
408.2540278203073,0,0,0,0,0,0,0,0,0
305.3218515288837,0,0,0,0,0,0,0,0,0
422.43563918590706,0,0,0,0,0,0,0,0,0
224.7534355732991,0,0,0,0,0,0,0,0,0
514.6652063442724,0,0,0,0,0,0,0,0,0
375.5917551768618,0,0,0,0,0,0,0,0,0
393.6938178609448,0,0,0,0,0,0,0,0,0
375.6405163252273,0,0,0,0,0,0,0,0,0
277.1459743517993,0,0,0,0,0,0,0,0,0
385.366291567225,0,0,0,0,0,0,0,0,0
307.30832291242,0,0,0,0,0,0,0,0,0
537.2708210173676,0,0,0,0,0,0,0,0,0
324.37193439694533,0,0,0,0,0,0,0,0,0
403.5516626171579,0,0,0,0,0,0,0,0,0
502.34390816027087,0,0,0,0,0,0,0,0,0
368.72805508626027,0,0,0,0,0,0,0,0,0
417.3054253538678,0,0,0,0,0,0,0,0,0
247.25863553566,0,0,0,0,0,0,0,0,0
540.7282692667761,0,0,0,0,0,0,0,0,0
310.9467989056917,0,0,0,0,0,0,0,0,0
282.8897577653591,0,0,0,0,0,0,0,0,0
200.02972738419996,0,0,0,0,0,0,0,0,0
605.9817335755585,0,0,0,0,0,0,0,0,0
251.91616098461813,0,0,0,0,0,0,0,0,0
338.59588754894656,0,0,0,0,0,0,0,0,0
448.7052436692276,0,0,0,0,0,0,0,0,0
186.31558539485715,0,0,0,0,0,0,0,0,0
469.59315082228284,0,0,0,0,0,0,0,0,0
222.5768341340642,0,0,0,0,0,0,0,0,0
329.58070088301093,0,0,0,0,0,0,0,0,0
360.2975668034639,0,0,0,0,0,0,0,0,0
281.80521506492283,0,0,0,0,0,0,0,0,0
323.94314496565454,0,0,0,0,0,0,0,0,0
354.8728397779721,0,0,0,0,0,0,0,0,0
295.59697452770496,0,0,0,0,0,0,0,0,0
290.9549741917746,0,0,0,0,0,0,0,0,0
401.56503644529715,0,0,0,0,0,0,0,0,0
331.3274646548095,0,0,0,0,0,0,0,0,0
379.72586085182036,0,0,0,0,0,0,0,0,0
596.2221258696827,0,0,0,0,0,0,0,0,0
285.4451947118374,0,0,0,0,0,0,0,0,0
620.828515270472,0,0,0,0,0,0,0,0,0
306.858106319989,0,0,0,0,0,0,0,0,0
665.7500619503498,0,0,0,0,0,0,0,0,0
299.589593732038,0,0,0,0,0,0,0,0,0
156.18419375138063,0,0,0,0,0,0,0,0,0
241.04106936009404,0,0,0,0,0,0,0,0,0
132.59667555898326,0,0,0,0,0,0,0,0,0
613.5118828356567,0,0,0,0,0,0,0,0,0
613.2716745531244,0,0,0,0,0,0,0,0,0
327.6944893492537,0,0,0,0,0,0,0,0,0
592.4676324771582,0,0,0,0,0,0,0,0,0
251.01854792202366,0,0,0,0,0,0,0,0,0
625.462673395625,0,0,0,0,0,0,0,0,0
245.02092318678908,0,0,0,0,0,0,0,0,0
246.71758436103272,0,0,0,0,0,0,0,0,0
469.26664728482666,0,0,0,0,0,0,0,0,0
271.6494412904692,0,0,0,0,0,0,0,0,0
263.51371634339745,0,0,0,0,0,0,0,0,0
435.46482866711534,0,0,0,0,0,0,0,0,0
253.08636965878512,0,0,0,0,0,0,0,0,0
591.8752476434206,0,0,0,0,0,0,0,0,0
599.3746406791469,0,0,0,0,0,0,0,0,0
192.7374690285997,0,0,0,0,0,0,0,0,0
669.8270951923367,0,0,0,0,0,0,0,0,0
166.4911508497409,0,0,0,0,0,0,0,0,0
178.19095822696067,0,0,0,0,0,0,0,0,0
193.6613959705379,0,0,0,0,0,0,0,0,0
266.1067841294335,0,0,0,0,0,0,0,0,0
640.2642257484101,0,0,0,0,0,0,0,0,0
178.21039753889082,0,0,0,0,0,0,0,0,0
561.4906179990774,0,0,0,0,0,0,0,0,0
272.1526471799674,0,0,0,0,0,0,0,0,0
501.29370810087823,0,0,0,0,0,0,0,0,0
436.08001085971546,0,0,0,0,0,0,0,0,0
293.5806150906596,0,0,0,0,0,0,0,0,0
428.2171328405113,0,0,0,0,0,0,0,0,0
558.0827199161678,0,0,0,0,0,0,0,0,0
197.6915237779196,0,0,0,0,0,0,0,0,0
300.4116395695136,0,0,0,0,0,0,0,0,0
255.93665256807063,0,0,0,0,0,0,0,0,0
322.325428689765,0,0,0,0,0,0,0,0,0
376.9144630702183,0,0,0,0,0,0,0,0,0
304.05694590900197,0,0,0,0,0,0,0,0,0
295.0002821202304,0,0,0,0,0,0,0,0,0
530.8449811602314,0,0,0,0,0,0,0,0,0
311.6023352719184,0,0,0,0,0,0,0,0,0
424.9991869738049,0,0,0,0,0,0,0,0,0
383.50824460317756,0,0,0,0,0,0,0,0,0
299.5738209726747,0,0,0,0,0,0,0,0,0
125.05403936794333,0,0,0,0,0,0,0,0,0
371.92945960806344,0,0,0,0,0,0,0,0,0
