cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
63.33431962367378,3369,2557,1686,574,1216,641,445,774,1672
58.3260032289207,3597,2481,1973,528,1108,621,409,602,1547
62.125270813011625,3602,2544,1795,633,1203,641,360,657,1735
68.46468294171278,3643,2553,1769,646,1205,687,378,625,1460
64.20844891606271,3792,2377,1779,569,1244,686,344,593,1694
69.67579316029861,3664,2227,1820,630,1081,690,370,604,1908
61.43140973938127,3660,2293,1961,710,1197,635,359,610,1539
57.96293733221372,3074,2517,2007,658,1312,594,439,530,1684
67.23628646202626,3531,2320,1759,635,1146,729,425,680,1860
62.69237917945437,3391,2640,1533,640,1288,566,458,704,1700
62.691704929747644,3637,2292,1816,552,1224,537,425,796,1667
59.31166539538391,3463,2239,1995,557,1279,557,509,622,1782
65.330311533056,3497,2608,1686,726,1114,576,325,714,1663
71.00287516621907,3807,2657,1490,618,1163,718,399,696,1515
66.2213186889918,3589,2627,1676,591,1332,606,510,582,1478
54.90652319756481,3621,2251,2025,794,1219,618,410,589,1517
51.71690002725453,3346,2603,1792,618,1276,514,290,599,1806
65.85717352396699,3742,2427,1646,598,1153,648,428,548,1752
70.70194455545601,3474,2639,1600,741,1066,685,542,604,1804
77.81481249428091,3614,2409,1794,548,1098,751,443,690,1656
60.05680456799419,3566,2297,2110,771,1077,606,411,487,1575
56.546158453703605,3289,2654,1915,673,1289,656,373,613,1632
54.51700529786341,3432,2370,1991,688,1234,611,480,603,1555
68.32723862606869,3670,2392,1644,610,1179,789,442,631,1596
57.96930797982414,3452,2642,1825,713,1273,545,321,606,1749
66.5202992697782,3513,2352,1793,729,1173,614,469,630,1623
67.37263643562294,3442,2644,2002,555,1108,614,369,627,1683
65.25379612842448,3460,2361,1884,665,1172,614,428,605,1717
62.48272902024734,3386,2636,1932,696,1276,547,365,600,1618
55.665030731818,3493,2620,1827,475,1236,544,487,683,1668
63.24692801967595,3668,2334,1813,582,1095,863,439,612,1601
54.62646603473082,3392,2560,1670,725,1371,448,388,700,1697
73.93318923743153,3660,2644,1602,719,1155,854,440,503,1658
55.136835620083986,3622,2333,1930,604,1302,506,350,547,1786
67.22655977485607,3465,2445,1788,650,1322,646,469,656,1598
64.42955082899235,3571,2657,1608,537,1190,744,455,617,1620
70.49950681470033,3689,2552,1643,730,1086,712,527,706,1638
59.76099714267932,3587,2312,1995,657,1169,628,432,605,1597
62.86038407200803,3772,2504,1483,510,1238,594,494,683,1652
61.62582450906468,3595,2565,1765,590,1192,632,569,549,1609
74.9244681023158,3720,2515,1651,579,1135,835,527,746,1471
61.24137007647306,3417,2280,1770,710,1181,652,547,446,1873
65.65752168929176,3687,2654,1674,550,1239,523,542,608,1451
57.567411512609766,3436,2423,1818,620,1153,705,403,654,1660
57.87343059685399,3581,2529,1765,717,1241,570,443,641,1558
73.29347776965459,3648,2370,1586,728,1068,839,501,638,1757
60.22094685593576,3452,2602,1825,648,1276,650,475,666,1361
54.32074647610942,3392,2580,2020,691,1177,486,389,536,1611
62.30247993776569,3263,2800,1758,700,1263,548,412,677,1588
56.77915329030063,3468,2647,1604,709,1264,711,397,593,1565
63.46567985242213,3667,2487,1655,663,1281,655,344,692,1520
61.99972568043901,3631,2301,2001,649,1166,594,379,570,1635
63.029683974873926,3666,2688,1747,619,1347,555,395,592,1563
61.17104231969097,3512,2626,1838,595,1119,643,369,603,1619
73.60970828786047,3471,2280,1797,615,1186,681,488,628,1732
58.35831684224908,3476,2443,2003,794,1204,611,367,445,1587
77.2628590013836,3605,2391,1624,619,1087,924,558,650,1715
63.29266579484834,3483,2538,1564,678,1128,733,408,753,1806
64.88344550051164,3417,2465,1876,650,1292,646,360,608,1721
76.320318832965,3529,2539,1686,635,1068,853,421,721,1625
61.56633891805874,3623,2438,1794,653,1226,657,411,654,1523
66.95032333842661,3241,2471,2136,788,1184,580,386,628,1770
78.60724967610177,3722,2361,1447,571,1118,813,446,771,1713
64.17455754931937,3702,2593,1737,599,1103,656,486,590,1608
58.59924538364423,3474,2575,1701,601,1161,615,457,646,1586
75.38533276220136,3742,2195,1644,541,1254,642,597,678,1778
73.27297943944765,3528,2352,1814,659,1115,707,499,625,1826
75.00469101077326,3780,2430,1537,629,1103,593,466,696,1765
64.12766951530547,3652,2317,1790,718,1063,590,409,621,1762
69.85205459724214,3817,2191,1612,622,1101,880,433,648,1627
57.0409914359468,3648,2559,1839,742,1191,495,350,668,1541
67.97799219826489,3682,2459,1587,587,1100,687,416,737,1721
74.37412219776192,3463,2389,1539,691,1112,739,399,687,1687
56.78746756838568,3491,2297,2088,701,1089,638,351,546,1568
57.33666725625874,3567,2407,1911,664,1334,528,498,657,1506
74.09940814972835,3554,2450,1703,568,1158,834,416,616,1755
64.82731820795486,3531,2539,1788,638,1105,596,414,623,1695
56.889418085000166,3696,2640,1632,625,1180,597,477,517,1663
61.45617477872688,3509,2482,1965,548,1118,663,421,658,1664
62.89776035246424,3623,2228,1830,738,1167,667,474,543,1569
75.27235088118388,3895,2439,1611,643,1094,803,403,784,1655
77.35662333057921,3581,2619,1684,782,1142,681,450,644,1604
64.30578156100752,3785,2494,1639,559,1065,756,484,665,1535
65.71680234484991,3618,2325,1728,749,1095,649,411,703,1648
62.34814236601656,3595,2595,1944,655,1170,545,395,626,1452
64.10286723280333,3911,2493,1479,593,1078,737,408,675,1743
70.06287731742923,3733,2545,1601,666,1098,692,435,692,1693
65.23164689587729,3485,2453,1777,564,1267,667,450,637,1821
59.619884386493965,3703,2461,1678,597,1203,614,472,624,1638
60.16752268343442,3903,2503,1760,640,1070,731,330,685,1439
49.576106112273365,3728,2507,1794,643,1224,522,501,644,1528
55.84975324015129,3250,2212,2228,712,1393,528,340,633,1534
64.3347822582005,3361,2604,1635,645,1265,731,446,775,1502
73.03900518004998,3737,2279,1942,539,1107,637,388,582,1798
69.764591356552,3509,2265,1697,858,1097,695,442,566,1692
63.65034157901845,3886,2509,1535,533,1239,597,426,629,1864
57.33632333811794,3518,2444,1829,613,1266,586,437,579,1675
80.14981371756086,4159,2403,1450,581,995,572,507,663,1686
61.274292674874744,3504,2599,1749,574,1209,581,421,756,1507
64.50001564075974,3640,2307,1574,674,1101,749,492,745,1794
75.61446702972762,3454,2429,1475,568,1143,811,541,925,1678
54.657728153597795,3723,2543,1768,551,1120,470,356,665,1563
57.775289171375704,3637,2369,1822,600,1235,607,510,784,1497
64.42511135278794,3513,2560,1781,670,1247,675,355,617,1586
54.61071540442217,3498,2393,1933,597,1269,523,429,645,1695
70.00438934850756,3766,2382,1647,537,1089,762,487,606,1722
56.763066779183134,3360,2262,2081,617,1310,542,439,568,1842
66.10360449010913,3896,2568,1615,673,1104,693,354,702,1553
76.72973393012593,3685,2641,1450,675,1090,803,524,607,1694
89.61926138381146,3616,2488,1379,645,865,1049,376,670,1854
58.81795446901162,3589,2476,2011,598,1190,642,489,578,1365
68.59794479925358,3796,2355,1740,698,1122,747,365,557,1559
64.07417751779994,3489,2464,1731,637,1172,733,525,648,1750
62.9021397659836,3614,2537,1585,640,1083,778,476,683,1712
65.23172903513088,3509,2501,1742,673,1061,614,440,610,1954
66.23681649147724,3621,2399,1507,715,1231,590,467,649,1735
68.48472625778805,3571,2639,1578,648,1192,674,342,707,1757
56.49232361823325,3461,2379,2084,638,1224,604,380,592,1686
59.03475210106366,3734,2392,1764,541,1127,659,453,511,1620
62.06674873566576,3651,2679,1617,600,1128,627,518,734,1616
66.97805510419404,3562,2577,1581,613,1155,669,507,632,1770
52.40697209843439,3576,2526,1905,713,1197,551,409,715,1487
56.50125989183417,3522,2605,1739,640,1279,576,381,678,1538
62.189285670031225,3496,2501,1828,725,1179,575,389,639,1679
68.22638554202928,3521,2429,1877,581,1215,575,500,658,1501
53.229872710144214,3269,2621,2168,626,1332,521,377,655,1399
66.43386349517635,3648,2471,1888,577,1109,662,566,598,1547
58.84586803550626,3205,2482,1963,644,1352,570,497,691,1450
54.25424181250958,3695,2401,1851,620,1164,595,382,617,1505
71.60964955726513,3530,2640,1768,558,1278,527,369,643,1665
73.12627144282861,3652,2535,1662,598,1178,753,356,741,1646
54.2878163445315,3574,2443,1827,632,1244,573,424,532,1683
69.56567473063318,3608,2706,1615,690,853,735,543,604,1682
59.60743204050475,3414,2894,1796,581,1190,567,448,602,1651
66.30866857463435,3741,2633,1799,625,1158,609,412,601,1562
76.11743698139634,3739,2458,1696,645,1067,722,517,682,1674
65.29256346370039,3772,2344,1708,746,1065,659,478,520,1729
67.40793001425233,3271,2410,1718,645,1326,756,486,693,1631
68.04469082125765,3637,2574,1466,650,1172,757,450,582,1652
67.81043619028058,3582,2443,1594,653,1082,647,529,668,1721
62.63197360842375,3481,2311,1788,627,1295,715,402,579,1680
87.26171042650378,3388,2459,1721,661,1107,826,419,715,1852
57.78970341835299,3495,2527,1808,626,1174,629,452,704,1622
75.45308089979486,3826,2388,1502,719,1011,795,489,695,1741
62.30340054808504,3526,2382,1926,588,1293,571,476,517,1731
62.55600777953132,3363,2450,1855,652,1153,669,396,638,1674
65.78047068567956,3698,2505,1689,623,1102,684,486,603,1636
66.9306306270906,3545,2477,1692,775,1156,611,396,610,1838
64.67745433796067,3702,2400,1750,606,1291,663,403,670,1543
63.13108230771437,3762,2544,1743,665,1013,559,402,593,1628
49.89264559321106,3355,2372,2100,725,1403,491,355,488,1612
56.12343461511269,3487,2516,1784,700,1147,606,417,548,1747
63.60410014597773,3596,2562,1880,672,1126,583,440,457,1679
71.30166968282292,3526,2532,1657,582,1194,850,468,643,1685
66.95439474413531,3689,2297,1916,709,1046,632,507,736,1537
59.10689871826341,3595,2321,1973,687,1345,633,347,664,1564
72.52704555429953,3539,2677,1657,646,1171,739,451,589,1695
80.06496373855255,3656,2529,1622,643,1064,864,374,691,1786
64.88791517207743,3595,2545,1633,721,1134,656,506,643,1647
54.58484616192584,3623,2364,1871,704,1269,540,390,654,1582
65.20365245406092,3592,2403,1771,675,1217,680,450,684,1529
64.2528217960324,3553,2399,1802,635,1224,605,403,599,1725
59.63113188746036,3452,2450,1710,594,1361,600,542,577,1620
70.88979659902911,3779,2567,1489,584,1066,706,415,655,1637
68.69596986822596,3820,2490,1620,540,1118,695,534,631,1678
56.700338748228724,3519,2275,1868,620,1170,575,477,696,1668
59.447634019699656,3530,2581,1551,619,1232,619,347,673,1814
56.97366780339728,3372,2479,2051,683,1337,459,353,669,1546
65.35971245553664,3857,2500,1803,653,1167,665,326,528,1665
64.28083084360269,3619,2153,1853,671,1194,638,549,644,1816
67.01901022913793,3596,2443,1774,628,1130,581,389,749,1718
59.444310212978046,3514,2748,1918,532,1224,569,349,501,1530
60.87838397688009,3644,2530,1734,680,1169,644,405,643,1492
66.827835773192,3559,2367,1860,635,1229,616,503,646,1812
62.83850415788818,3733,2526,1755,679,1073,562,449,591,1694
63.65770271656007,3677,2473,1530,723,1175,725,458,786,1466
69.69080802098968,3518,2644,1667,658,1134,940,379,712,1445
62.96684934585505,3529,2493,1869,645,1195,649,505,565,1566
72.3277844166714,3708,2420,1549,633,1066,628,549,743,1709
83.74932870968962,3578,2461,1659,599,1195,781,432,691,1741
68.04468088645658,3698,2352,1883,678,1038,616,423,773,1609
70.27607681630097,3527,2546,1830,688,1097,698,438,629,1506
54.88833055635834,3416,2600,1932,607,1140,600,441,604,1571
68.69614149710279,3743,2467,1769,609,1047,655,468,622,1814
60.19480597859698,3292,2660,1803,862,1136,464,432,765,1603
64.05147366917777,3606,2350,1816,650,1283,567,423,851,1714
65.6790513597616,3453,2374,1831,685,1076,743,432,727,1576
60.39310159784826,3704,2306,1717,720,1132,607,457,554,1695
60.950537678123275,3667,2532,1779,753,1118,490,427,628,1624
63.00895877670274,3676,2298,2169,594,1127,656,461,645,1716
69.82514902597198,3537,2530,1676,703,1122,674,436,599,1810
56.01843178459575,3394,2253,1785,724,1447,652,490,598,1728
59.52185515966916,3724,2375,1714,577,1098,670,449,623,1569
60.28435030049861,3780,2539,1869,665,1077,630,349,730,1514
65.01532494813756,3688,2459,1590,547,1187,674,481,703,1709
71.3768769251753,3806,2594,1531,662,1130,692,437,687,1649
62.070125696894316,3657,2442,1665,697,1142,587,410,627,1710
59.63361684499487,3716,2491,1827,672,1127,694,451,608,1504
78.22220027121685,3802,2636,1501,577,1022,716,491,769,1678
58.65355268040342,3751,2407,1825,683,1166,574,452,646,1748
64.26905393864378,3714,2221,1924,686,1107,586,373,630,1741
80.74515169490682,3718,2583,1475,601,950,785,476,646,1784
72.06400809000893,3435,2487,1686,634,1126,685,411,621,1873
58.12471032654316,3461,2442,1950,757,1234,627,319,636,1663
56.795336524923236,3720,2189,1883,547,1275,498,469,588,1832
64.1911894627984,3493,2401,1776,693,1096,718,622,670,1608
59.47450540222425,3738,2470,1503,601,1218,653,552,636,1743
63.08982471714962,3573,2316,1849,630,1130,681,364,708,1641
68.59793132965419,3370,2647,1757,578,1253,868,406,577,1687
59.73987616495016,3579,2256,1769,649,1192,620,452,708,1578
68.12593170254593,3605,2708,1515,555,1093,688,496,563,1566
59.47977390904911,3565,2460,1742,757,1119,711,393,638,1617
66.60136706983633,3744,2461,1709,592,1191,715,382,686,1556
64.8961329238519,3395,2553,1711,715,1276,638,357,576,1825
58.54505513965238,3518,2573,1729,760,1199,669,409,544,1617
66.88387508474509,3422,2518,1867,638,1066,690,470,635,1482
67.74325687482167,3713,2741,1685,604,1179,626,395,705,1492
69.72942083027856,3707,2588,1626,624,1177,781,468,540,1616
65.7140401227497,3442,2609,1689,816,1110,620,490,639,1523
61.83192864022853,3664,2584,1781,638,1082,562,443,825,1483
66.5595979723473,3655,2489,1715,777,1060,677,485,605,1513
73.47240686907189,3757,2416,1796,682,1016,766,386,616,1597
66.3920309117136,3563,2480,1621,617,1174,666,398,659,1808
63.716171898881754,3847,2397,1639,726,1130,707,430,686,1596
59.33797218397716,3497,2413,1744,582,1282,618,472,635,1840
57.8959641900923,3453,2497,1800,774,1207,585,366,688,1664
49.913336562195475,3294,2341,2243,617,1133,510,453,561,1521
68.88211781416331,3643,2352,1762,587,1118,575,540,739,1748
71.43270461362286,3481,2553,1529,726,1100,764,365,649,1866
62.73398591330446,3724,2395,1828,684,1193,619,437,613,1547
66.39368337985395,3632,2401,1690,578,1155,634,399,675,1825
65.60887382369685,3767,2511,1597,659,1093,550,484,642,1750
