cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
78.11422296729906,3447,3020,2600,2919,1074
67.93668449815249,3431,3418,2437,3015,908
65.812164151143,3380,3250,2584,2875,936
61.48705782998226,3277,3040,2403,3171,1056
68.21374079663259,3435,3526,2400,2718,928
66.13624007634613,3671,3331,2348,2850,1000
67.70439212027084,3216,3311,2663,2787,1070
68.22221854872672,3644,3103,2439,2901,1011
67.86074323937056,3821,3143,2617,2475,1014
71.02900409753235,3238,3387,2468,2823,1126
67.75140915347838,3566,3536,2403,2538,976
58.64323105380238,3141,3402,2342,2993,1076
74.73919900325646,3778,3422,2405,2587,866
64.28039955408508,3407,3072,2603,2815,1000
60.77239571414722,3178,3758,2482,2634,1089
64.94057464299733,3456,3134,2429,2877,1107
68.21821321503529,3487,3205,2606,2722,1072
63.32157762084327,3288,3264,2541,3016,919
56.14414780839977,3056,3561,2681,2628,969
68.37779594767376,3771,3094,2342,2738,975
65.06153642225983,3502,3598,2298,2719,1057
72.12053354837509,3487,3274,2493,2740,1032
64.67135808290091,3522,3137,2384,2762,1074
54.65374466989037,3219,3440,2352,2727,1108
62.80439920792935,3324,3605,2228,2911,1051
62.608201381367465,3265,3590,2510,2514,1017
68.92355319175856,3296,3051,2887,2758,987
67.45896961795721,3470,3255,2652,2735,1034
69.37910772423109,3353,3302,2778,2666,953
57.62828736141927,3266,3382,2490,2714,1090
61.04964795160897,3031,3276,2553,2901,1160
69.04945862235708,3595,3248,2626,2581,1003
70.67463928094932,3333,3354,2413,2890,997
75.7799782997932,3848,3321,2520,2610,929
69.3806644322893,3439,3190,2576,2863,968
58.84826350363756,3151,3637,2641,2722,1089
77.94527816161116,3794,3141,2816,2516,789
69.51029330987356,3613,3124,2675,2681,1043
70.51503211217555,3784,3136,2796,2558,890
53.608838013253525,3203,3633,2226,2902,1105
56.200655099891954,3254,3612,2240,2840,1067
54.73171879622496,3076,3314,2489,2849,1178
68.61826503161458,3459,3447,2364,2866,946
60.7263030643472,3080,3413,2455,2866,1106
68.09431517751837,3616,3118,2570,2740,995
58.77325061630218,3301,3332,2354,2920,1065
57.65681316072207,3197,3028,2543,3179,1039
62.242576832951,3415,3155,2653,2761,1087
58.088415910329225,3463,3437,2402,2558,1103
58.980914762751596,3396,3234,2503,2881,958
63.75502211884492,3533,3210,2396,2837,1023
64.7394737869711,3229,3328,2555,2712,1093
66.3633615187313,3831,3122,2625,2455,1039
66.71468549769929,3359,3202,2448,2838,1044
57.92911846852116,3257,3303,2465,2697,1110
57.45628541705727,3341,3435,2520,2640,942
60.728105645646274,3360,3403,2326,2844,1057
66.42956122742125,3343,3249,2727,2677,938
66.20912473684366,3286,3339,2479,3088,992
61.48935051448937,3301,3385,2591,2716,951
70.41516726729415,3332,3440,2346,2954,914
58.53829625011146,2957,3295,2520,3027,1203
55.38742914564315,3127,3343,2499,3035,899
66.60207337673869,3200,3356,2707,2738,1020
65.12542940654531,3701,3354,2356,2544,1017
62.562101628754625,3454,3238,2417,2975,906
63.29404473781531,3354,3242,2561,3024,1088
61.492372395825825,3630,3365,2170,3037,939
64.03762102146722,3489,3403,2412,2772,968
75.01171632836197,3406,3308,2499,2975,988
60.88050991107909,3444,3323,2671,2538,1143
59.54967976993858,3286,3547,2405,2921,1010
68.27820227289071,3846,2995,2355,2799,1004
68.30750981839518,3249,3180,2617,2864,1068
67.18065557316515,3427,3365,2634,2718,846
65.51295495708239,3533,3199,2542,2844,991
62.57054025554926,3368,3398,2432,2834,885
60.546079834918594,3081,3562,2476,2902,1055
55.31004123040238,3061,3638,2371,2719,1210
63.31380898675781,3412,3746,2509,2549,860
62.209608184953666,3299,3620,2274,2828,963
61.771136909638756,3070,3501,2370,3006,1093
61.557253822581316,3250,3316,2413,2988,920
65.9907333082951,3454,3397,2617,2656,861
68.33588594025562,3672,3363,2492,2682,1012
65.44564751768114,3405,3362,2188,2857,1115
62.33099274782571,3137,3318,2238,2988,1113
60.04376106063209,3461,3558,2285,2825,919
60.900923197744845,3308,3489,2395,2725,1103
75.79705688155214,3697,2918,2846,2611,916
57.783309605404234,3221,3470,2207,2942,1087
57.30908139027532,3053,3137,2641,2991,1154
70.16163488519894,3540,3432,2480,2679,984
64.28074118783427,3371,3277,2526,2901,967
73.9833540790489,3711,3327,2535,2593,907
68.94170040701296,3349,3403,2480,2927,991
63.54067485780795,3331,3367,2447,2787,1151
58.26935452879551,3173,3147,2617,2946,1146
53.497094508861345,3212,3260,2631,2920,969
66.84678445369126,3262,3346,2612,2693,1137
52.80011779605364,3088,3230,2560,2891,1060
72.79573843175062,3298,3256,2509,2893,1033
65.07497457193332,3233,3216,2450,2914,1114
73.28785969417879,3804,3169,2377,2804,954
54.07105013275215,2830,3328,2610,3099,956
67.48509840901556,3554,3184,2564,2727,939
70.04686341861098,3530,3219,2708,2590,947
58.76632441328658,3274,3403,2196,3090,1129
56.31510856836299,3188,3458,2335,2755,1232
63.57272273235023,3183,3463,2455,2790,913
64.26289557400757,3356,3537,2390,2595,1047
71.43323934979203,3651,3158,2515,2827,937
59.85618529295598,3182,3608,2513,2719,985
67.34674188201608,3666,3189,2420,2713,1024
66.55478602753398,3429,3468,2619,2770,973
69.67473244961462,3599,3293,2580,2841,858
57.57589863420515,3321,3712,2207,2604,1258
66.12127072016202,3340,3475,2503,2864,1025
74.70385786919199,3823,3386,2252,2764,922
65.74616335359842,3392,3307,2460,2881,1024
68.73473612566896,3706,3196,2671,2436,929
69.73674135982837,3679,3191,2592,2686,1002
62.313999878072856,3438,3096,2616,2828,971
60.2560720663272,3470,3479,2421,2630,970
69.64267341926896,3358,3216,2656,2700,1078
63.72985724716344,3336,3514,2585,2817,953
55.8350054521668,3294,3718,2248,2631,1187
74.73907175375422,3652,3346,2553,2682,863
63.633362794950045,3495,3370,2320,2831,901
63.493755821357524,3395,3379,2616,2801,924
75.6992846902057,3826,3141,2480,2881,898
57.305894295289136,3286,3245,2445,2989,998
65.37285518325726,3308,3259,2636,2943,917
75.17829657156472,3454,3342,2817,2679,918
63.95184464932055,3270,3317,2488,2790,1118
63.90619121102707,3481,3117,2381,2910,1044
70.9267995686083,3169,3310,2729,2836,958
66.03214433480883,3099,3559,2335,2830,1115
63.44468531917053,3431,3101,2363,3181,952
65.27232760256628,3313,3376,2634,2634,984
70.29053007802305,3663,3055,2599,2706,915
71.2597977041011,3756,3112,2568,2611,1091
63.363786164756675,3432,3509,2576,2637,954
65.35003431597328,3358,3095,2649,2732,931
70.6884805768478,3435,3222,2627,2909,915
57.206413191860655,3207,3529,2407,2754,1073
74.43596349500146,3823,3070,2604,2830,901
64.81829066018841,3516,3281,2392,2867,896
53.45119620815847,2817,3378,2635,3032,1108
80.09495241636472,3872,3026,2764,2575,791
66.14020522175007,3170,3311,2599,2933,913
64.48851369057255,3528,3440,2478,2671,966
54.46957021787395,3244,3122,2303,3197,1140
57.3703294400465,3316,3519,2295,2714,1122
70.37878223079011,3546,3033,2575,2790,1031
62.64672481095549,3642,3386,2297,2793,907
75.8670866778779,3745,3146,2683,2546,951
65.720569789938,3336,3387,2431,2729,1039
58.234086855587165,3113,3504,2508,2728,1141
65.90003941435366,3614,3571,2366,2701,1042
59.39507674475061,3372,3183,2494,2728,952
61.235387701773675,3365,3371,2389,2967,989
61.08200901680065,3452,3354,2343,2778,979
60.555101939831374,3215,3442,2655,2811,1098
62.86420541823362,3483,3314,2273,2938,1011
58.62821377597081,3444,3429,2408,2810,964
62.06099555255856,3359,3287,2471,2745,1066
58.397118217940466,3095,3584,2299,2809,1107
67.28205880692799,3579,3284,2599,2903,877
69.08705538478615,3558,3009,2607,2812,953
69.71158030077495,3608,3547,2258,2975,980
69.62977210340705,3731,3253,2460,2531,956
61.90196032007673,3322,3329,2547,2760,1121
55.97932169159072,3142,3472,2298,2763,1059
63.99063866065125,3782,3487,2420,2715,1028
68.22733028436775,3385,3211,2655,2734,1050
68.6483836038019,3690,2956,2649,2898,857
60.68669547327798,3469,3219,2289,2889,1131
62.121449033926474,3373,3784,2397,2739,976
74.59276534294247,3075,3355,2514,3068,1004
58.61434459385804,3283,3219,2360,2959,1040
61.05894144359184,3013,3333,2553,3008,1151
65.31443796813285,3190,3619,2368,2960,1028
72.5158935644752,3468,3231,2537,2750,1083
63.766986166810895,3514,3729,2249,2557,1027
54.888631304297,3036,3307,2496,2957,1190
63.13936631855156,3387,3506,2319,2683,1075
67.33644110588696,3357,3176,2330,3233,832
55.00440346920811,3122,3407,2421,2820,1106
63.34928264527216,3723,3309,2516,2559,983
61.03079233250445,3262,3552,2378,2832,973
61.02185582863394,3443,3223,2528,2753,1168
64.28730606495162,3381,3191,2355,3009,1086
60.97253087024402,3658,3182,2389,2828,1005
76.58740916173274,3605,3220,2760,2658,783
59.75047564094182,3422,3381,2208,2851,1084
73.0319778204171,3500,3359,2798,2306,1058
76.9184638032425,3653,3214,2572,2691,908
56.273398006579875,3003,3354,2408,3118,1039
64.19441003724926,3560,3304,2345,3041,935
65.1015288202188,3586,3016,2297,3004,1190
66.90744576134833,3946,3075,2433,2799,866
66.18707137613299,3560,3480,2369,2602,906
62.76521011847033,3418,3267,2393,2899,1118
70.88657499797802,3425,3293,2370,2826,949
70.008380622851,3519,3213,2554,2802,965
