cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
6.267339116742278,724,2056,0,510,38,0,2,1670,0
5.888166110214093,735,2137,0,458,36,0,0,1634,0
5.75530937929311,745,2110,0,465,28,0,0,1652,0
5.540730204010621,746,2132,0,386,40,0,0,1696,0
5.489897005857653,887,1992,0,317,43,0,0,1761,0
5.043913605249695,877,2076,0,259,12,0,0,1776,0
5.693737663855472,864,2024,0,398,24,0,0,1690,0
5.1726262028483205,841,1991,0,337,44,0,1,1786,0
5.480807662827269,797,2044,0,336,34,0,4,1785,0
5.681128931263927,776,2122,0,383,35,0,0,1684,0
6.387318910884377,719,2139,0,583,31,0,1,1527,0
5.2804495613362095,919,2018,0,325,24,0,10,1704,0
6.312221648331319,701,2185,0,461,36,0,0,1617,0
5.8210416037418335,799,2119,0,403,31,0,10,1638,0
5.838960079221846,734,2148,0,388,27,0,13,1690,0
5.383518520910362,825,2078,0,371,29,0,0,1697,0
5.873161697292705,743,2141,0,393,29,0,9,1685,0
5.20463875838252,848,2047,0,344,25,0,0,1736,0
5.43302641639727,859,2039,0,395,26,0,0,1681,0
6.021744924563191,748,2194,0,385,42,0,4,1627,0
4.786130743415539,951,1969,0,241,17,0,7,1815,0
5.743995019889835,794,2123,0,388,19,0,0,1676,0
5.0655548982762735,863,2053,0,265,21,0,0,1798,0
6.070328490991801,762,2054,0,450,37,0,8,1689,0
4.993275162687768,821,2027,0,275,25,0,0,1852,0
5.317536181678231,779,2106,0,312,36,0,1,1766,0
6.242362393357877,699,2145,0,379,61,0,14,1702,0
5.8253127048042455,718,2128,0,424,37,0,0,1693,0
5.628661432823864,806,2055,0,396,43,0,0,1700,0
5.7809898258373416,695,2158,0,383,26,0,3,1735,0
5.220890478195143,863,2022,0,323,26,0,1,1765,0
6.706223084096133,789,2017,0,509,40,0,21,1624,0
5.885239196871136,791,2092,0,450,46,0,9,1612,0
6.144416759324693,760,2095,0,443,56,0,1,1645,0
5.396743474329868,833,2070,0,340,40,0,2,1715,0
5.515841920649293,781,2137,0,368,28,0,0,1686,0
5.642277345584305,821,2070,0,336,13,0,7,1753,0
6.8110473486909395,742,2089,0,431,52,4,59,1623,0
5.844805604031203,707,2123,0,381,44,0,0,1745,0
5.247525035817531,839,2015,0,324,31,0,0,1791,0
7.820540785855643,665,2133,0,642,52,0,37,1471,0
5.504164173631858,863,2069,0,367,27,0,0,1674,0
4.996062201055555,955,1991,0,268,25,0,0,1761,0
5.416742407483483,809,2030,0,382,26,0,0,1753,0
5.454744911086125,786,2060,0,377,47,0,0,1730,0
5.946404825123539,884,2006,0,454,28,0,0,1628,0
5.490063825731334,769,2085,0,318,24,0,4,1800,0
5.5289534043773205,850,2056,0,279,25,0,26,1764,0
5.676389710504426,811,2105,0,385,27,0,4,1668,0
5.746123155981629,791,2121,0,388,45,0,1,1654,0
6.266534812924386,681,2131,0,459,36,0,5,1688,0
5.742523275049529,809,2087,0,400,31,0,0,1673,0
6.444150829382786,767,2090,0,534,51,0,4,1554,0
6.113335088892982,696,2175,0,458,33,0,5,1633,0
5.502531671077713,809,2050,0,353,16,0,5,1767,0
5.740428475937548,687,2123,0,378,47,0,1,1764,0
6.476915343712418,745,2106,0,533,36,0,13,1567,0
5.805621260864967,798,2094,0,342,48,0,0,1718,0
5.258471552812982,829,2127,0,310,27,0,0,1707,0
5.7442121464467215,718,2113,0,379,36,0,0,1754,0
5.326350911547535,757,2075,0,356,15,0,0,1797,0
5.379058477903098,742,2120,0,295,28,0,2,1813,0
6.64244287784089,650,2172,0,535,47,0,12,1584,0
5.519881549834459,775,2089,0,376,25,0,4,1731,0
5.877881066757549,777,2085,0,427,28,0,0,1683,0
5.771518223933013,733,2114,0,335,42,0,19,1757,0
6.833074503170022,680,2144,0,588,41,0,4,1543,0
5.99427671991691,794,2105,0,368,55,0,3,1675,0
5.598514222876522,728,2103,0,402,32,0,0,1735,0
5.704904953148407,696,2162,0,392,36,0,0,1714,0
5.949993707306581,742,2129,0,455,27,0,4,1643,0
6.524326226811447,762,2066,0,415,29,0,33,1695,0
5.096879840670813,851,2054,0,292,26,0,0,1777,0
5.391401783516457,788,2097,0,324,23,0,0,1768,0
6.148182231334637,672,2121,0,525,46,0,0,1636,0
5.42847361303697,874,2020,0,318,17,0,0,1771,0
5.269366291970482,795,2070,0,346,24,0,0,1765,0
6.116961770468325,730,2111,0,464,31,0,0,1664,0
5.960408931136881,709,2150,0,478,37,0,6,1620,0
5.483922004005517,826,2038,0,345,35,0,1,1755,0
5.256359468755605,914,2023,0,364,23,0,2,1674,0
5.351804775862453,831,2030,0,279,28,0,2,1830,0
5.211208378146023,813,2025,0,301,22,0,0,1839,0
5.557692860054683,793,2062,0,364,24,0,0,1757,0
6.274444399897017,736,2078,0,510,28,0,7,1641,0
6.147387732926499,750,2047,0,503,41,0,3,1656,0
5.5991718322954505,777,2201,0,388,38,0,0,1596,0
5.514629275738986,884,2046,0,410,31,0,0,1629,0
6.004020506517565,785,2071,0,519,26,0,0,1599,0
