cycle_time,spt_policy,fifo_policy,random_policy
5.013326000800007,0,2921,2079
5.164714611738389,0,2901,2099
4.7728333290298,0,2892,2108
5.365436622194621,0,2919,2081
5.449084395490059,0,2887,2113
5.808566206081716,0,2853,2147
6.146331721634717,0,2871,2129
5.696281528884897,0,2918,2082
5.117161310889244,0,2922,2078
6.201750862524249,0,2840,2160
6.702904719590388,0,2802,2198
5.588073240387639,0,2876,2124
5.196347787852228,0,2820,2180
5.728966859221848,0,2879,2121
5.451692537824448,0,2912,2088
6.2261348451440295,0,2803,2197
5.722446493737415,0,2830,2170
5.666604519634145,0,2905,2095
5.694931738562809,0,2788,2212
5.350881119056557,0,2908,2092
5.8837645377307,0,2815,2185
5.238204583007254,0,2896,2104
6.224113985755499,0,2788,2212
7.481781313973974,0,2799,2201
5.969516993883926,0,2926,2074
5.920017671724228,0,2888,2112
5.693894813502541,0,2887,2113
5.314514438128205,0,2878,2122
6.453143902334106,0,2802,2198
5.5830707684149585,0,2770,2230
5.985235531111541,0,2898,2102
6.291904513337717,0,2823,2177
5.698053074755609,0,2917,2083
5.047775716415383,0,2900,2100
6.994157388172314,0,2753,2247
5.580013659180689,0,2917,2083
5.6207721117967715,0,2834,2166
5.7630988160374255,0,2802,2198
5.889255997830756,0,2820,2180
5.755140761737112,0,2902,2098
6.0392890570291655,0,2815,2185
5.5052651815076645,0,2876,2124
5.663241060872502,0,2869,2131
5.663873113769048,0,2906,2094
5.6664264548523535,0,2942,2058
6.270834185417022,0,2901,2099
6.496532615478057,0,2843,2157
5.6258109294828715,0,2870,2130
5.518854246698621,0,2966,2034
7.262519382493358,0,2796,2204
5.665914624592346,0,2812,2188
5.34411015076855,0,2894,2106
6.026771613389454,0,2889,2111
5.790139056576044,0,2836,2164
5.567448865488258,0,2921,2079
6.575701636697876,0,2787,2213
5.198720524352402,0,2953,2047
5.416030431249986,0,2860,2140
5.510818373244233,0,2909,2091
5.818291288753988,0,2811,2189
5.330811756945193,0,2862,2138
6.440524861680381,0,2833,2167
5.3509835400045835,0,2863,2137
5.985430773037208,0,2805,2195
5.367197856431412,0,2814,2186
6.296629084685096,0,2778,2222
5.4017978129304405,0,2895,2105
6.033734751966248,0,2883,2117
6.907988332726718,0,2879,2121
5.462970431223774,0,2912,2088
5.68355481544496,0,2816,2184
5.809786654685547,0,2792,2208
5.555282133897329,0,2830,2170
5.490317603116151,0,2795,2205
6.081064601848307,0,2903,2097
5.958380108531374,0,2908,2092
5.765832072665934,0,2869,2131
5.6978848546513685,0,2819,2181
5.396600834035704,0,2892,2108
4.919309877010546,0,2949,2051
5.513567591134441,0,2900,2100
6.060916206719563,0,2868,2132
6.407957915745411,0,2811,2189
5.734281080198534,0,2866,2134
5.798162451871712,0,2786,2214
5.862590638734397,0,2894,2106
5.412627630224097,0,2873,2127
5.939666436313337,0,2922,2078
5.869371629743067,0,2894,2106
5.648564969479817,0,2863,2137
5.865013689334493,0,2814,2186
5.998587230893156,0,2900,2100
5.928977363748194,0,2827,2173
5.557768278565201,0,2873,2127
6.334166330845179,0,2899,2101
6.180701758272584,0,2897,2103
5.582370222336918,0,2867,2133
5.977599668014999,0,2859,2141
6.346625416718,0,2775,2225
5.930099442943139,0,2901,2099
5.1391997453322285,0,2914,2086
6.706714415788103,0,2820,2180
5.980454808032514,0,2837,2163
6.007785816274304,0,2751,2249
6.1543614146499985,0,2840,2160
5.846606782085622,0,2903,2097
5.297228821870039,0,2842,2158
5.6745523187954605,0,2922,2078
4.872043696863541,0,2934,2066
5.658084987134756,0,2892,2108
5.773855316884452,0,2900,2100
5.554701388701489,0,2905,2095
6.187676999731594,0,2832,2168
5.816559348539701,0,2861,2139
6.177439112917534,0,2918,2082
5.618324868153958,0,2858,2142
5.371031724148881,0,2834,2166
6.252181170214596,0,2865,2135
5.131937184825379,0,2915,2085
5.981278481052319,0,2863,2137
5.82877994601728,0,2818,2182
5.525081364799677,0,2849,2151
5.754321389163554,0,2876,2124
5.697720267689781,0,2848,2152
6.364772695244837,0,2832,2168
5.831221458596482,0,2831,2169
5.439711285695455,0,2903,2097
7.392364995833489,0,2857,2143
4.996040580359422,0,2904,2096
5.681458517303377,0,2892,2108
6.153602880235799,0,2761,2239
6.819642563077224,0,2750,2250
5.178606704174387,0,2849,2151
5.069107506004889,0,2901,2099
6.666560874592638,0,2894,2106
5.816179204242393,0,2877,2123
6.539002239973616,0,2831,2169
5.091280832137854,0,2928,2072
5.0851606481912714,0,2909,2091
5.615409315140025,0,2830,2170
5.4201328337430335,0,2842,2158
5.704604909556634,0,2834,2166
6.03127552919265,0,2848,2152
6.334747223584612,0,2812,2188
5.377306555566972,0,2885,2115
5.7703728021463565,0,2892,2108
6.253884150156759,0,2870,2130
5.318077709862653,0,2916,2084
5.162010193826347,0,2930,2070
6.331298932550767,0,2767,2233
6.000751838616193,0,2891,2109
5.3807813530708835,0,2884,2116
6.735932007152279,0,2908,2092
5.6279202038368625,0,2845,2155
5.634163899737673,0,2861,2139
5.277736353236695,0,2898,2102
6.035255830610963,0,2881,2119
5.816219795287626,0,2844,2156
6.154519732102969,0,2824,2176
4.8746232055649825,0,2886,2114
5.799291514239046,0,2897,2103
5.86833713076836,0,2837,2163
5.174921663327527,0,2863,2137
5.674368715468629,0,2803,2197
6.227298515341627,0,2824,2176
5.476997246771443,0,2890,2110
6.124251384347049,0,2857,2143
5.7976341772406474,0,2820,2180
4.9880336193535895,0,2873,2127
5.987253802408377,0,2867,2133
5.455856593566717,0,2869,2131
5.2367629949891885,0,2906,2094
6.261027858449652,0,2834,2166
5.691958646765861,0,2848,2152
5.3279403862997405,0,2871,2129
5.453796476624255,0,2879,2121
5.386678500187704,0,2842,2158
5.365728598620528,0,2836,2164
7.241610677586854,0,2771,2229
5.36434810449054,0,2925,2075
5.947446709383341,0,2883,2117
5.565714087084782,0,2870,2130
5.695192411256188,0,2875,2125
5.804241196737766,0,2815,2185
5.456808702471266,0,2863,2137
5.893841144527762,0,2911,2089
5.931851191314069,0,2866,2134
6.74098461323366,0,2808,2192
5.564067033333225,0,2871,2129
5.614693289351617,0,2882,2118
7.324524172120879,0,2791,2209
6.035069595001262,0,2845,2155
6.219121809830161,0,2837,2163
5.457770967981604,0,2867,2133
5.255091258313385,0,2857,2143
5.704094839287644,0,2903,2097
6.709001585838163,0,2755,2245
5.385296994591247,0,2852,2148
5.9519652037651865,0,2801,2199
5.976226096120174,0,2893,2107
5.626376122113766,0,2871,2129
6.218243305753076,0,2820,2180
5.687824779797006,0,2914,2086
5.217906364871172,0,2926,2074
5.593218722073039,0,2891,2109
5.4226846408288,0,2859,2141
5.450652531030111,0,2843,2157
5.70389697712588,0,2810,2190
6.043069783849542,0,2847,2153
5.740599360616473,0,2824,2176
4.861890741043912,0,2880,2120
5.9422954528278895,0,2841,2159
5.123991921207052,0,2917,2083
5.366225922289978,0,2874,2126
5.69602053764856,0,2825,2175
5.778763266285402,0,2866,2134
5.664214332991524,0,2941,2059
6.3112666175961305,0,2911,2089
5.832222336517124,0,2885,2115
5.176213088636365,0,2877,2123
7.060625679274948,0,2778,2222
6.021709499849429,0,2903,2097
5.764059730330587,0,2896,2104
5.651782072920171,0,2837,2163
5.6081534535798285,0,2863,2137
6.39492306499353,0,2815,2185
5.108018190897477,0,2960,2040
5.548952717523933,0,2883,2117
5.459948688180849,0,2865,2135
5.6765149277356794,0,2872,2128
6.194292110728498,0,2846,2154
6.226796511994791,0,2824,2176
5.474202644808014,0,2859,2141
5.617797754022788,0,2873,2127
5.7675024944728746,0,2801,2199
5.464389057551668,0,2918,2082
6.655189146683205,0,2821,2179
5.555043256725276,0,2867,2133
5.632743448742979,0,2871,2129
5.127039752495893,0,2855,2145
6.3352077911704106,0,2830,2170
5.90234678939244,0,2854,2146
8.436945573623653,0,2756,2244
5.624381689103532,0,2863,2137
6.2402498110131175,0,2854,2146
5.829655734101427,0,2852,2148
5.883571012234618,0,2856,2144
6.388396053809381,0,2833,2167
5.42792927494123,0,2934,2066
6.385879163409149,0,2825,2175
5.583701964577546,0,2888,2112
5.272671614858622,0,2869,2131
6.1124654291768366,0,2876,2124
5.298867419097968,0,2928,2072
6.5541755079545005,0,2823,2177
5.644650859513463,0,2885,2115
