cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
389.3840178462158,0,0,0,0,0,0,0,0,0
407.30181049951045,0,0,0,0,0,0,0,0,0
417.6718913453783,0,0,0,0,0,0,0,0,0
396.93900026906573,0,0,0,0,0,0,0,0,0
590.8104574781797,0,0,0,0,0,0,0,0,0
357.4041020633363,0,0,0,0,0,0,0,0,0
579.9094721659842,0,0,0,0,0,0,0,0,0
281.57509307159984,0,0,0,0,0,0,0,0,0
307.5269174477329,0,0,0,0,0,0,0,0,0
409.5451432481875,0,0,0,0,0,0,0,0,0
432.260625947194,0,0,0,0,0,0,0,0,0
261.47045230473924,0,0,0,0,0,0,0,0,0
211.1795281610958,0,0,0,0,0,0,0,0,0
303.9154938529824,0,0,0,0,0,0,0,0,0
293.38630711275033,0,0,0,0,0,0,0,0,0
387.27554009620974,0,0,0,0,0,0,0,0,0
400.5690684142474,0,0,0,0,0,0,0,0,0
387.1786699970405,0,0,0,0,0,0,0,0,0
349.3935401566243,0,0,0,0,0,0,0,0,0
426.3272030418667,0,0,0,0,0,0,0,0,0
398.24175454123474,0,0,0,0,0,0,0,0,0
427.42615490162706,0,0,0,0,0,0,0,0,0
494.8464015688771,0,0,0,0,0,0,0,0,0
509.93533556937825,0,0,0,0,0,0,0,0,0
265.2776025905468,0,0,0,0,0,0,0,0,0
326.27585336653465,0,0,0,0,0,0,0,0,0
175.6133160320319,0,0,0,0,0,0,0,0,0
592.9981844563465,0,0,0,0,0,0,0,0,0
344.9943317500707,0,0,0,0,0,0,0,0,0
559.9619354766795,0,0,0,0,0,0,0,0,0
398.46413083205994,0,0,0,0,0,0,0,0,0
429.3781252642469,0,0,0,0,0,0,0,0,0
314.69454733694556,0,0,0,0,0,0,0,0,0
264.62866681945445,0,0,0,0,0,0,0,0,0
459.3657323418264,0,0,0,0,0,0,0,0,0
441.81882142047033,0,0,0,0,0,0,0,0,0
283.0972021167379,0,0,0,0,0,0,0,0,0
677.9938399472098,0,0,0,0,0,0,0,0,0
351.16634678433934,0,0,0,0,0,0,0,0,0
503.5899077830534,0,0,0,0,0,0,0,0,0
452.05244622467046,0,0,0,0,0,0,0,0,0
462.56453333137983,0,0,0,0,0,0,0,0,0
590.9430019135461,0,0,0,0,0,0,0,0,0
256.32410143552465,0,0,0,0,0,0,0,0,0
411.7120032911376,0,0,0,0,0,0,0,0,0
274.764533194733,0,0,0,0,0,0,0,0,0
298.9464250097984,0,0,0,0,0,0,0,0,0
482.283014686503,0,0,0,0,0,0,0,0,0
293.9628730476956,0,0,0,0,0,0,0,0,0
379.6429117401449,0,0,0,0,0,0,0,0,0
279.81005260312475,0,0,0,0,0,0,0,0,0
688.5295481445161,0,0,0,0,0,0,0,0,0
271.81148938661386,0,0,0,0,0,0,0,0,0
340.7891725077366,0,0,0,0,0,0,0,0,0
342.21331602090396,0,0,0,0,0,0,0,0,0
333.7192684086321,0,0,0,0,0,0,0,0,0
492.1261699694478,0,0,0,0,0,0,0,0,0
667.7519237927346,0,0,0,0,0,0,0,0,0
645.8955935970773,0,0,0,0,0,0,0,0,0
442.9066603571007,0,0,0,0,0,0,0,0,0
326.19895006771526,0,0,0,0,0,0,0,0,0
391.5499923700966,0,0,0,0,0,0,0,0,0
377.49290183768005,0,0,0,0,0,0,0,0,0
497.24930180533465,0,0,0,0,0,0,0,0,0
455.7425917962785,0,0,0,0,0,0,0,0,0
513.3462197363484,0,0,0,0,0,0,0,0,0
