cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
144.17623556105406,4070,3292,296,1125,2305,3754,509,1800,1619
139.8880900358181,4033,3275,291,1227,2459,3632,540,1828,1467
151.30959217269734,3623,3205,283,2026,2179,3605,494,1757,1754
97.99256296908196,2909,3448,320,2519,2244,2828,428,1909,2033
138.47878270834653,3918,3359,234,1526,2396,3436,549,1730,1778
178.04048553763874,4263,3008,263,1350,2182,3998,614,1801,1405
84.32250503721356,2738,3568,331,2576,2262,2742,389,2098,2129
177.98564574670684,4297,3105,286,1449,2224,3738,527,1828,1610
119.89828619947208,3583,3422,303,1453,2498,3336,453,1905,1781
111.3499937889138,3106,3319,318,2147,2105,3103,461,2003,1941
124.69931026786806,3652,3481,275,1416,2428,3454,453,1940,1758
136.1402527134765,3636,3510,296,1872,2371,3313,462,1783,1773
103.51571748672245,3050,3407,321,2173,2264,2979,439,2039,1951
95.1433462023615,3038,3510,328,2120,2380,3021,451,1955,2147
113.13344239581521,3508,3592,330,1466,2429,3311,522,1886,1861
233.0778745597125,4805,2792,234,1419,1887,4435,595,1746,1226
97.93314845727063,3128,3537,311,2142,2283,2896,396,2004,2022
95.68864104762659,3023,3617,309,1898,2515,2912,451,1997,2006
124.77413586943962,3776,3321,265,1642,2282,3337,551,1861,1765
153.92834874952425,4084,3460,260,1153,2342,3615,603,1793,1640
136.40121232674994,3484,3229,283,1889,2184,3454,509,1845,1764
155.49243044944885,4045,3152,273,1275,2301,3570,586,1835,1661
125.37520332666698,3753,3348,252,1674,2408,3436,550,1785,1720
129.65211070932568,3316,3271,329,2025,2239,3256,502,1888,1899
136.52340007377208,4001,3414,264,1548,2423,3459,547,1745,1651
345.55969309427365,5253,2286,190,1379,1715,4962,553,1654,940
107.10485845742419,3389,3469,318,2139,2415,3167,453,1864,1934
164.34089645254855,4225,3268,266,1346,2362,3623,617,1727,1498
218.4520831892063,4822,3036,210,947,2239,4119,646,1562,1249
233.5389128445661,4500,2812,267,1616,2124,3989,644,1649,1406
120.77220987455442,3740,3450,325,1790,2413,3312,528,1753,1789
121.612832608074,3486,3384,274,1999,2227,3245,517,1860,1775
271.52448208625526,4987,2503,215,1366,1897,4521,667,1681,1089
103.70028555851967,3086,3602,349,1851,2460,3112,439,1931,1970
175.47873194947144,4083,3417,244,1384,2381,3915,543,1749,1558
145.41142792852568,3906,3180,271,1524,2436,3555,558,1847,1658
107.4360702124384,3452,3406,282,1872,2236,3372,445,1865,1915
95.42233116876373,3102,3537,314,2261,2189,2849,438,2077,2060
150.5968985389888,3928,3226,307,1542,2337,3675,557,1757,1666
107.61539005900629,3368,3764,354,1739,2433,3084,457,1935,1900
276.195058298277,4988,2684,210,1128,1947,4295,582,1652,1224
130.98181649163698,3837,3430,307,1420,2297,3402,505,1784,1758
115.48796925407687,3423,3133,328,1931,2083,3340,498,1938,1904
111.26326444044358,3514,3444,296,1711,2412,3243,483,1825,1830
174.29225427087553,4205,3199,292,1636,2109,3581,506,1853,1662
105.561857195416,3190,3458,300,1870,2385,3228,457,1876,1967
166.96681867861744,4287,3229,282,1223,2243,3732,569,1739,1643
285.89314984486714,4558,2496,240,1664,1726,4145,558,1841,1320
191.90132543613208,4405,3195,245,982,2553,3906,578,1605,1565
83.77017332527558,2592,3480,334,2975,2319,2561,412,1969,2140
259.6168862048983,4923,2748,231,1348,1945,4333,588,1650,1196
107.83128970375745,3222,3411,331,2110,2360,3213,442,1919,2002
116.4892186995142,3562,3326,291,1868,2332,3479,465,1823,1795
89.28735929146681,2901,3536,308,2386,2302,2864,428,2015,2012
192.5548501461806,4242,2974,265,1890,1896,3654,590,1782,1603
149.9401562536668,3843,3012,278,1606,2304,3794,486,1909,1661
282.0793856998775,5146,2698,204,973,1803,4721,599,1521,1141
103.6353713487016,3202,3705,297,2072,2292,3052,442,1810,1982
115.0301410125334,3400,3421,312,1701,2278,3325,453,1994,2006
119.38540568226709,3451,3275,294,1633,2304,3337,494,1979,1769
140.90053052223718,3863,3224,320,1305,2295,3468,530,1971,1680
141.07013556311182,3962,3360,292,1343,2326,3435,524,1880,1726
143.5563218842895,4055,3462,245,1589,2239,3492,541,1660,1712
99.06584093565873,3179,3535,301,1783,2372,2981,497,1858,2009
124.20503306302936,3855,3280,313,1685,2392,3382,518,1765,1784
101.6406823091095,3320,3669,281,1725,2551,3119,451,1950,1986
191.06844371724912,4580,2923,257,1485,2122,3847,645,1767,1330
114.84657112277947,3362,3571,293,1760,2434,3185,523,1831,1901
134.12746814472015,3778,3265,266,1780,2278,3423,519,1794,1733
149.19105738761766,3999,3413,257,1357,2264,3749,566,1750,1655
222.75708166871317,4736,2702,278,1422,2069,4145,573,1701,1354
140.18198550695627,4285,3373,265,1292,2519,3582,612,1707,1570
