cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
97.60822214115193,9188,4505,1797,2526,937
92.39005445449475,8789,4611,1878,2548,863
121.26885726633337,9613,4335,1700,2385,1073
88.77439680912252,8776,4510,1930,2534,819
204.75850252272903,9527,4479,1576,2154,1160
115.55957755238346,8898,4529,1837,2474,957
96.58424651916184,9079,4425,1966,2572,836
130.44216136745246,9082,4588,1750,2433,899
94.18044924292946,8996,4325,2101,2540,835
115.84930490908297,9262,4574,1805,2492,994
106.85846159596932,9104,4453,2010,2550,941
125.06220076824846,9198,4548,1751,2514,1032
106.69259199477956,9062,4578,1817,2431,804
107.96666517232167,9216,4508,1884,2481,930
117.30997442506037,8906,4612,1844,2409,999
186.85672806941224,9572,4537,1544,2153,1075
91.44441880613448,8846,4442,2061,2495,806
139.91897020096235,9699,4338,1680,2388,1109
90.67526842119999,8957,4483,1945,2632,843
112.8785542308053,9250,4542,1768,2416,989
106.10947506722121,9069,4496,1833,2582,883
84.96610354570991,8587,4649,2044,2563,828
141.30901162915964,9163,4568,1859,2449,977
87.740084762074,8872,4499,2010,2654,771
98.14786563858145,9537,4230,1771,2521,930
201.7587357760021,9557,4594,1548,2235,1136
104.4389392106495,9067,4465,1918,2506,937
119.79981234757544,9181,4506,1882,2572,1031
106.88098509133984,8996,4468,1963,2503,900
162.3765752992419,9378,4420,1645,2281,980
91.13927370416945,8767,4603,2092,2662,862
93.85493637484915,8996,4528,1903,2594,746
103.67225146239261,8888,4491,1850,2600,860
229.21094395736927,9743,4644,1397,2167,987
96.09715065107426,8821,4464,1939,2544,783
145.2279971669661,9119,4620,1921,2511,1112
92.16100886166024,8688,4520,2153,2660,737
126.89440085701952,9129,4394,1827,2440,1040
76.62785037907021,8449,4734,2287,2709,726
103.70610597876623,8908,4648,1951,2611,892
114.5759276749566,8982,4398,2032,2620,1002
116.63674349406757,8981,4445,1859,2601,908
110.4057442606109,9186,4487,1721,2430,919
159.57446355971987,9480,4439,1542,2271,1158
188.99668269124626,9601,4611,1659,2352,1060
127.86249859270319,9598,4256,1664,2346,1020
99.48930091242154,8919,4561,2095,2686,818
120.44113377810616,9380,4383,1711,2512,1030
117.84890354065126,9313,4441,1772,2367,934
108.71076163461292,9132,4678,1790,2510,939
133.19838476137008,9806,4303,1604,2395,1091
88.46714345557763,8506,4606,2127,2766,789
98.67790360605203,9461,4237,1680,2430,827
