cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
328.1550135638145,0,0,0,0,0,0,0,0,0
196.29055991895268,0,0,0,0,0,0,0,0,0
249.6539681241863,0,0,0,0,0,0,0,0,0
232.76801610650085,0,0,0,0,0,0,0,0,0
103.98922655204669,0,0,0,0,0,0,0,0,0
138.52787662859205,0,0,0,0,0,0,0,0,0
103.72352334025862,0,0,0,0,0,0,0,0,0
226.7557822417272,0,0,0,0,0,0,0,0,0
157.2656278470231,0,0,0,0,0,0,0,0,0
154.89095214337175,0,0,0,0,0,0,0,0,0
197.86361480866555,0,0,0,0,0,0,0,0,0
106.27043232584917,0,0,0,0,0,0,0,0,0
223.0442112971432,0,0,0,0,0,0,0,0,0
233.08747995410474,0,0,0,0,0,0,0,0,0
272.7978586215744,0,0,0,0,0,0,0,0,0
258.7943189021876,0,0,0,0,0,0,0,0,0
383.7131957289359,0,0,0,0,0,0,0,0,0
182.94785179060213,0,0,0,0,0,0,0,0,0
192.0434794716691,0,0,0,0,0,0,0,0,0
82.0601809041885,0,0,0,0,0,0,0,0,0
109.75919891634811,0,0,0,0,0,0,0,0,0
170.8142617187277,0,0,0,0,0,0,0,0,0
307.8101078120746,0,0,0,0,0,0,0,0,0
105.96167584306696,0,0,0,0,0,0,0,0,0
104.48262976570494,0,0,0,0,0,0,0,0,0
103.67537234397312,0,0,0,0,0,0,0,0,0
260.8189125341085,0,0,0,0,0,0,0,0,0
142.9974217661995,0,0,0,0,0,0,0,0,0
134.99868750054992,0,0,0,0,0,0,0,0,0
163.71863614611755,0,0,0,0,0,0,0,0,0
156.44556776709743,0,0,0,0,0,0,0,0,0
141.6818332887264,0,0,0,0,0,0,0,0,0
151.76144845452475,0,0,0,0,0,0,0,0,0
685.7334581176406,0,0,0,0,0,0,0,0,0
220.3737266939194,0,0,0,0,0,0,0,0,0
161.54279146642347,0,0,0,0,0,0,0,0,0
201.245554009686,0,0,0,0,0,0,0,0,0
207.59268097939236,0,0,0,0,0,0,0,0,0
261.07078405219704,0,0,0,0,0,0,0,0,0
279.65797498395733,0,0,0,0,0,0,0,0,0
169.75794060552238,0,0,0,0,0,0,0,0,0
137.12890692326002,0,0,0,0,0,0,0,0,0
191.18036985107955,0,0,0,0,0,0,0,0,0
282.1624474745445,0,0,0,0,0,0,0,0,0
218.8551834707816,0,0,0,0,0,0,0,0,0
164.5693099401564,0,0,0,0,0,0,0,0,0
123.9864195358497,0,0,0,0,0,0,0,0,0
116.24936290455065,0,0,0,0,0,0,0,0,0
176.57216499577785,0,0,0,0,0,0,0,0,0
326.3117826297776,0,0,0,0,0,0,0,0,0
123.94834303098784,0,0,0,0,0,0,0,0,0
96.64995113341004,0,0,0,0,0,0,0,0,0
222.8067846261274,0,0,0,0,0,0,0,0,0
153.86253143797458,0,0,0,0,0,0,0,0,0
149.85902395090133,0,0,0,0,0,0,0,0,0
197.62744320097585,0,0,0,0,0,0,0,0,0
125.32686972577409,0,0,0,0,0,0,0,0,0
184.93134539215905,0,0,0,0,0,0,0,0,0
163.9794329197046,0,0,0,0,0,0,0,0,0
151.7982525388353,0,0,0,0,0,0,0,0,0
366.9546470612554,0,0,0,0,0,0,0,0,0
120.57473764629371,0,0,0,0,0,0,0,0,0
190.86961151258564,0,0,0,0,0,0,0,0,0
114.31623327086926,0,0,0,0,0,0,0,0,0
112.84880898956938,0,0,0,0,0,0,0,0,0
132.32407940720577,0,0,0,0,0,0,0,0,0
455.0620180331737,0,0,0,0,0,0,0,0,0
467.838079829464,0,0,0,0,0,0,0,0,0
208.04089661257356,0,0,0,0,0,0,0,0,0
185.73282276642897,0,0,0,0,0,0,0,0,0
163.0552647477603,0,0,0,0,0,0,0,0,0
346.6813975430247,0,0,0,0,0,0,0,0,0
93.562943894246,0,0,0,0,0,0,0,0,0
139.30418772424323,0,0,0,0,0,0,0,0,0
185.20609447927814,0,0,0,0,0,0,0,0,0
139.14501664252984,0,0,0,0,0,0,0,0,0
198.7255241387381,0,0,0,0,0,0,0,0,0
119.58418527989087,0,0,0,0,0,0,0,0,0
176.83705853258698,0,0,0,0,0,0,0,0,0
107.7703791681638,0,0,0,0,0,0,0,0,0
138.1006722982571,0,0,0,0,0,0,0,0,0
125.71583012835598,0,0,0,0,0,0,0,0,0
202.87523569017577,0,0,0,0,0,0,0,0,0
200.96460344627965,0,0,0,0,0,0,0,0,0
115.11508657267407,0,0,0,0,0,0,0,0,0
220.97402813960827,0,0,0,0,0,0,0,0,0
148.36009418780017,0,0,0,0,0,0,0,0,0
119.93081881342152,0,0,0,0,0,0,0,0,0
207.2536107173437,0,0,0,0,0,0,0,0,0
212.73814968177197,0,0,0,0,0,0,0,0,0
216.996252349398,0,0,0,0,0,0,0,0,0
165.55026670167885,0,0,0,0,0,0,0,0,0
140.3140875172198,0,0,0,0,0,0,0,0,0
106.24443035457926,0,0,0,0,0,0,0,0,0
145.3369027916155,0,0,0,0,0,0,0,0,0
160.8416205952364,0,0,0,0,0,0,0,0,0
106.0919334695657,0,0,0,0,0,0,0,0,0
101.89184743892376,0,0,0,0,0,0,0,0,0
132.13454747630826,0,0,0,0,0,0,0,0,0
405.7058712372463,0,0,0,0,0,0,0,0,0
105.23987243360835,0,0,0,0,0,0,0,0,0
231.76079363404443,0,0,0,0,0,0,0,0,0
154.20936889745178,0,0,0,0,0,0,0,0,0
411.1439325728781,0,0,0,0,0,0,0,0,0
123.34501884349731,0,0,0,0,0,0,0,0,0
154.692078124542,0,0,0,0,0,0,0,0,0
392.76281612355706,0,0,0,0,0,0,0,0,0
124.59247071815506,0,0,0,0,0,0,0,0,0
405.65495963901566,0,0,0,0,0,0,0,0,0
135.13866816342136,0,0,0,0,0,0,0,0,0
288.94798194721284,0,0,0,0,0,0,0,0,0
94.14770984738924,0,0,0,0,0,0,0,0,0
203.1573346771613,0,0,0,0,0,0,0,0,0
312.3135509120639,0,0,0,0,0,0,0,0,0
110.44414092318446,0,0,0,0,0,0,0,0,0
178.65866597144264,0,0,0,0,0,0,0,0,0
174.51927916009237,0,0,0,0,0,0,0,0,0
203.32115842130074,0,0,0,0,0,0,0,0,0
137.92793101046263,0,0,0,0,0,0,0,0,0
206.6078659205024,0,0,0,0,0,0,0,0,0
591.0655931900974,0,0,0,0,0,0,0,0,0
151.2328622445778,0,0,0,0,0,0,0,0,0
149.58915204052644,0,0,0,0,0,0,0,0,0
292.67214769807,0,0,0,0,0,0,0,0,0
359.1656988749291,0,0,0,0,0,0,0,0,0
218.54727227211296,0,0,0,0,0,0,0,0,0
91.64161976849,0,0,0,0,0,0,0,0,0
268.3507452066782,0,0,0,0,0,0,0,0,0
260.7273955057272,0,0,0,0,0,0,0,0,0
173.3661153305509,0,0,0,0,0,0,0,0,0
187.61095858297034,0,0,0,0,0,0,0,0,0
108.24361161907665,0,0,0,0,0,0,0,0,0
124.08081537896727,0,0,0,0,0,0,0,0,0
161.71595377496192,0,0,0,0,0,0,0,0,0
386.6867309886944,0,0,0,0,0,0,0,0,0
158.04217052463716,0,0,0,0,0,0,0,0,0
154.08184890216552,0,0,0,0,0,0,0,0,0
203.12204689620887,0,0,0,0,0,0,0,0,0
160.74106143267164,0,0,0,0,0,0,0,0,0
124.17179749685293,0,0,0,0,0,0,0,0,0
290.4774370494625,0,0,0,0,0,0,0,0,0
293.9324777998407,0,0,0,0,0,0,0,0,0
160.27569906048427,0,0,0,0,0,0,0,0,0
128.74425485332742,0,0,0,0,0,0,0,0,0
339.3071734731327,0,0,0,0,0,0,0,0,0
113.58661704076268,0,0,0,0,0,0,0,0,0
128.02593320272328,0,0,0,0,0,0,0,0,0
145.43067076484516,0,0,0,0,0,0,0,0,0
305.2074384509849,0,0,0,0,0,0,0,0,0
152.7401375363448,0,0,0,0,0,0,0,0,0
137.6798566970783,0,0,0,0,0,0,0,0,0
212.32968515022037,0,0,0,0,0,0,0,0,0
124.22281688113844,0,0,0,0,0,0,0,0,0
101.59159596175995,0,0,0,0,0,0,0,0,0
286.5230879669336,0,0,0,0,0,0,0,0,0
125.34304979295477,0,0,0,0,0,0,0,0,0
240.5780870215254,0,0,0,0,0,0,0,0,0
154.00584593790427,0,0,0,0,0,0,0,0,0
354.93189920604203,0,0,0,0,0,0,0,0,0
121.22007482714848,0,0,0,0,0,0,0,0,0
89.49671302153244,0,0,0,0,0,0,0,0,0
251.6205514808992,0,0,0,0,0,0,0,0,0
216.697357797929,0,0,0,0,0,0,0,0,0
101.36516565464679,0,0,0,0,0,0,0,0,0
158.01706834906676,0,0,0,0,0,0,0,0,0
122.72057670141054,0,0,0,0,0,0,0,0,0
108.76266124350813,0,0,0,0,0,0,0,0,0
3045.204987058231,0,0,0,0,0,0,0,0,0
128.1497991573203,0,0,0,0,0,0,0,0,0
331.0530235861156,0,0,0,0,0,0,0,0,0
236.03265949774809,0,0,0,0,0,0,0,0,0
186.37024724229406,0,0,0,0,0,0,0,0,0
379.04119774883077,0,0,0,0,0,0,0,0,0
98.3751149864771,0,0,0,0,0,0,0,0,0
153.6031279557149,0,0,0,0,0,0,0,0,0
269.04358132028904,0,0,0,0,0,0,0,0,0
232.23392229281808,0,0,0,0,0,0,0,0,0
1541.2105334986952,0,0,0,0,0,0,0,0,0
352.4387975314329,0,0,0,0,0,0,0,0,0
153.58482021855139,0,0,0,0,0,0,0,0,0
238.4930615788147,0,0,0,0,0,0,0,0,0
402.8865498534685,0,0,0,0,0,0,0,0,0
179.1001543392298,0,0,0,0,0,0,0,0,0
207.05779767112222,0,0,0,0,0,0,0,0,0
151.61804779781605,0,0,0,0,0,0,0,0,0
111.64249000876521,0,0,0,0,0,0,0,0,0
174.70368055690247,0,0,0,0,0,0,0,0,0
203.42242253720494,0,0,0,0,0,0,0,0,0
93.57900071505952,0,0,0,0,0,0,0,0,0
103.22304955462785,0,0,0,0,0,0,0,0,0
99.30617789963986,0,0,0,0,0,0,0,0,0
176.4843553220604,0,0,0,0,0,0,0,0,0
223.87227906547034,0,0,0,0,0,0,0,0,0
97.94367917912491,0,0,0,0,0,0,0,0,0
110.62450663524491,0,0,0,0,0,0,0,0,0
131.15955287309055,0,0,0,0,0,0,0,0,0
302.47228489904865,0,0,0,0,0,0,0,0,0
104.24727558676068,0,0,0,0,0,0,0,0,0
202.28369276024225,0,0,0,0,0,0,0,0,0
86.89914671862135,0,0,0,0,0,0,0,0,0
211.67646097558347,0,0,0,0,0,0,0,0,0
155.96398708711288,0,0,0,0,0,0,0,0,0
112.47176442694426,0,0,0,0,0,0,0,0,0
186.4579353432887,0,0,0,0,0,0,0,0,0
156.07562972198045,0,0,0,0,0,0,0,0,0
175.98484231070026,0,0,0,0,0,0,0,0,0
143.40479642352508,0,0,0,0,0,0,0,0,0
237.15110861104787,0,0,0,0,0,0,0,0,0
97.30140237026613,0,0,0,0,0,0,0,0,0
195.10238744131567,0,0,0,0,0,0,0,0,0
244.99786918910797,0,0,0,0,0,0,0,0,0
125.11602046905402,0,0,0,0,0,0,0,0,0
117.88142295238832,0,0,0,0,0,0,0,0,0
191.32978455787398,0,0,0,0,0,0,0,0,0
95.62517320319145,0,0,0,0,0,0,0,0,0
134.88784659569907,0,0,0,0,0,0,0,0,0
148.76640159119546,0,0,0,0,0,0,0,0,0
137.87725914631824,0,0,0,0,0,0,0,0,0
110.58016357174783,0,0,0,0,0,0,0,0,0
235.6338118316455,0,0,0,0,0,0,0,0,0
177.34849092514062,0,0,0,0,0,0,0,0,0
189.25657301705644,0,0,0,0,0,0,0,0,0
201.33984281506332,0,0,0,0,0,0,0,0,0
202.24537387215628,0,0,0,0,0,0,0,0,0
152.95471522858602,0,0,0,0,0,0,0,0,0
131.06135094948922,0,0,0,0,0,0,0,0,0
90.10832198033819,0,0,0,0,0,0,0,0,0
179.5991934968735,0,0,0,0,0,0,0,0,0
176.96565648836227,0,0,0,0,0,0,0,0,0
137.91638211739505,0,0,0,0,0,0,0,0,0
2147.8625727270883,0,0,0,0,0,0,0,0,0
165.03885346608357,0,0,0,0,0,0,0,0,0
194.85292945404416,0,0,0,0,0,0,0,0,0
831.5944225178847,0,0,0,0,0,0,0,0,0
189.50107670806324,0,0,0,0,0,0,0,0,0
144.66976082109372,0,0,0,0,0,0,0,0,0
150.2857063810041,0,0,0,0,0,0,0,0,0
175.77879679407084,0,0,0,0,0,0,0,0,0
200.64090184988504,0,0,0,0,0,0,0,0,0
156.70284639517237,0,0,0,0,0,0,0,0,0
280.0244608557505,0,0,0,0,0,0,0,0,0
128.34052412150106,0,0,0,0,0,0,0,0,0
560.8753661966376,0,0,0,0,0,0,0,0,0
110.69694651845914,0,0,0,0,0,0,0,0,0
139.56460254643815,0,0,0,0,0,0,0,0,0
