cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
6.925538503785026,0,0,0,1768,0,0,732,0,0
5.804724729568157,0,0,0,1715,0,0,785,0,0
5.701358267206945,0,0,0,1750,0,0,750,0,0
5.56208597828467,0,0,0,1733,0,0,767,0,0
6.478596326017699,0,0,0,1723,0,0,777,0,0
5.6588075293239,0,0,0,1746,0,0,754,0,0
5.983343966852357,0,0,0,1759,0,0,741,0,0
5.612918815695004,0,0,0,1719,0,0,781,0,0
5.938357020421423,0,0,0,1735,0,0,765,0,0
6.463562535592422,0,0,0,1767,0,0,733,0,0
6.293217248866617,0,0,0,1738,0,0,762,0,0
6.196398448363656,0,0,0,1714,0,0,786,0,0
6.1606860353309205,0,0,0,1697,0,0,803,0,0
6.127889170214536,0,0,0,1710,0,0,790,0,0
5.762581357027309,0,0,0,1723,0,0,777,0,0
6.325788993020084,0,0,0,1747,0,0,753,0,0
6.465298878378862,0,0,0,1720,0,0,780,0,0
6.164261529205802,0,0,0,1754,0,0,746,0,0
5.16310223990646,0,0,0,1714,0,0,786,0,0
5.393741431403388,0,0,0,1748,0,0,752,0,0
5.937226025874762,0,0,0,1722,0,0,778,0,0
5.6996900088429,0,0,0,1715,0,0,785,0,0
6.437683966579439,0,0,0,1734,0,0,766,0,0
5.687428868503419,0,0,0,1739,0,0,761,0,0
5.6050039606399435,0,0,0,1742,0,0,758,0,0
6.501463042570776,0,0,0,1713,0,0,787,0,0
6.11150404973819,0,0,0,1714,0,0,786,0,0
5.93143278186736,0,0,0,1734,0,0,766,0,0
5.928659295854249,0,0,0,1739,0,0,761,0,0
5.5418047781867585,0,0,0,1730,0,0,770,0,0
5.706937329549769,0,0,0,1714,0,0,786,0,0
5.328628293833414,0,0,0,1758,0,0,742,0,0
5.085938892237603,0,0,0,1769,0,0,731,0,0
5.862479578160753,0,0,0,1746,0,0,754,0,0
6.017719140086875,0,0,0,1756,0,0,744,0,0
5.740507992094625,0,0,0,1688,0,0,812,0,0
5.951737413246718,0,0,0,1737,0,0,763,0,0
5.8672358540076806,0,0,0,1706,0,0,794,0,0
5.003795915679656,0,0,0,1741,0,0,759,0,0
5.14758382225114,0,0,0,1719,0,0,781,0,0
5.748804530356498,0,0,0,1679,0,0,821,0,0
6.845012773285354,0,0,0,1690,0,0,810,0,0
6.507459303546653,0,0,0,1708,0,0,792,0,0
5.719755734512757,0,0,0,1731,0,0,769,0,0
6.65927074175228,0,0,0,1724,0,0,776,0,0
4.97396864168997,0,0,0,1741,0,0,759,0,0
6.402928176588379,0,0,0,1761,0,0,739,0,0
6.481199138087889,0,0,0,1734,0,0,766,0,0
5.569629994082444,0,0,0,1726,0,0,774,0,0
6.2620806150271795,0,0,0,1709,0,0,791,0,0
5.954997012111774,0,0,0,1760,0,0,740,0,0
5.866029252908354,0,0,0,1737,0,0,763,0,0
5.419368503273955,0,0,0,1712,0,0,788,0,0
6.39803000679734,0,0,0,1731,0,0,769,0,0
6.0405848309195305,0,0,0,1768,0,0,732,0,0
7.244763047683159,0,0,0,1749,0,0,751,0,0
5.090528762276237,0,0,0,1726,0,0,774,0,0
5.0232801381276335,0,0,0,1753,0,0,747,0,0
5.79134311975209,0,0,0,1745,0,0,755,0,0
5.77766410373779,0,0,0,1739,0,0,761,0,0
4.870654487691999,0,0,0,1723,0,0,777,0,0
6.940338564521359,0,0,0,1713,0,0,787,0,0
6.381279644734089,0,0,0,1761,0,0,739,0,0
6.63079437215248,0,0,0,1723,0,0,777,0,0
6.8469376402862325,0,0,0,1697,0,0,803,0,0
6.3648714638536275,0,0,0,1752,0,0,748,0,0
6.059098353966636,0,0,0,1726,0,0,774,0,0
5.924890530315668,0,0,0,1742,0,0,758,0,0
5.705804236952752,0,0,0,1709,0,0,791,0,0
6.667883039062434,0,0,0,1804,0,0,696,0,0
5.347125792216018,0,0,0,1721,0,0,779,0,0
5.721406125179305,0,0,0,1758,0,0,742,0,0
4.744673479185561,0,0,0,1732,0,0,768,0,0
5.874671639493566,0,0,0,1767,0,0,733,0,0
6.2555925132763015,0,0,0,1701,0,0,799,0,0
6.009875512409267,0,0,0,1762,0,0,738,0,0
5.887829506808894,0,0,0,1743,0,0,757,0,0
5.2279335659791935,0,0,0,1735,0,0,765,0,0
5.600361060568539,0,0,0,1737,0,0,763,0,0
6.060338538457109,0,0,0,1707,0,0,793,0,0
5.992938764710479,0,0,0,1735,0,0,765,0,0
6.7016042258165,0,0,0,1739,0,0,761,0,0
5.164835075524207,0,0,0,1746,0,0,754,0,0
6.933676016011917,0,0,0,1764,0,0,736,0,0
5.128274791185101,0,0,0,1719,0,0,781,0,0
5.696588882568109,0,0,0,1737,0,0,763,0,0
5.739551950468419,0,0,0,1736,0,0,764,0,0
6.26854856140097,0,0,0,1702,0,0,798,0,0
5.160059794557411,0,0,0,1731,0,0,769,0,0
6.346434265632968,0,0,0,1714,0,0,786,0,0
5.489585432518454,0,0,0,1713,0,0,787,0,0
5.772234491683645,0,0,0,1698,0,0,802,0,0
5.731182735106322,0,0,0,1707,0,0,793,0,0
6.198574897694552,0,0,0,1769,0,0,731,0,0
5.8687013492599505,0,0,0,1733,0,0,767,0,0
5.557102975602659,0,0,0,1732,0,0,768,0,0
5.5897413911103415,0,0,0,1706,0,0,794,0,0
5.8358439772014306,0,0,0,1702,0,0,798,0,0
6.068207912267551,0,0,0,1704,0,0,796,0,0
6.0159030814815155,0,0,0,1741,0,0,759,0,0
5.335867403975755,0,0,0,1748,0,0,752,0,0
6.348776135971296,0,0,0,1743,0,0,757,0,0
5.580654157742048,0,0,0,1756,0,0,744,0,0
6.242032233486352,0,0,0,1767,0,0,733,0,0
5.557906905406379,0,0,0,1734,0,0,766,0,0
5.022480023705898,0,0,0,1693,0,0,807,0,0
5.705993980747144,0,0,0,1702,0,0,798,0,0
