cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy,least_flexible_resource_policy,most_flexible_resource_policy,least_flexible_activity_policy,most_flexible_activity_policy
373.5894747908373,0,0,0,0,0,0,0,0,0
652.7499891695908,0,0,0,0,0,0,0,0,0
365.4805323941656,0,0,0,0,0,0,0,0,0
520.9276920769561,0,0,0,0,0,0,0,0,0
249.23113296982035,0,0,0,0,0,0,0,0,0
373.938535110331,0,0,0,0,0,0,0,0,0
739.6489485806311,0,0,0,0,0,0,0,0,0
688.4081424484746,0,0,0,0,0,0,0,0,0
407.2460756930694,0,0,0,0,0,0,0,0,0
185.19893236757082,0,0,0,0,0,0,0,0,0
272.73871429431915,0,0,0,0,0,0,0,0,0
269.97540336587605,0,0,0,0,0,0,0,0,0
686.8449935764672,0,0,0,0,0,0,0,0,0
626.1394121914469,0,0,0,0,0,0,0,0,0
250.39464481532713,0,0,0,0,0,0,0,0,0
318.2070370725956,0,0,0,0,0,0,0,0,0
428.5594557221326,0,0,0,0,0,0,0,0,0
651.7107060381576,0,0,0,0,0,0,0,0,0
400.7361239374746,0,0,0,0,0,0,0,0,0
192.0937398940845,0,0,0,0,0,0,0,0,0
342.33578006445913,0,0,0,0,0,0,0,0,0
845.559697578948,0,0,0,0,0,0,0,0,0
337.6444366763323,0,0,0,0,0,0,0,0,0
180.9179556632056,0,0,0,0,0,0,0,0,0
330.85546554071846,0,0,0,0,0,0,0,0,0
374.84518094592255,0,0,0,0,0,0,0,0,0
216.52693189419188,0,0,0,0,0,0,0,0,0
425.7509503767611,0,0,0,0,0,0,0,0,0
368.71908413377355,0,0,0,0,0,0,0,0,0
543.7321892474635,0,0,0,0,0,0,0,0,0
546.6648448074177,0,0,0,0,0,0,0,0,0
515.0935365701341,0,0,0,0,0,0,0,0,0
598.5958026323451,0,0,0,0,0,0,0,0,0
260.2330818581941,0,0,0,0,0,0,0,0,0
380.9992409199845,0,0,0,0,0,0,0,0,0
427.23912197324114,0,0,0,0,0,0,0,0,0
225.89300019973027,0,0,0,0,0,0,0,0,0
362.44333402722316,0,0,0,0,0,0,0,0,0
389.61650454095565,0,0,0,0,0,0,0,0,0
296.36175919247194,0,0,0,0,0,0,0,0,0
767.2575451593215,0,0,0,0,0,0,0,0,0
235.18880468993984,0,0,0,0,0,0,0,0,0
435.37035457572017,0,0,0,0,0,0,0,0,0
234.17617491086418,0,0,0,0,0,0,0,0,0
217.97554102603016,0,0,0,0,0,0,0,0,0
757.4770955910542,0,0,0,0,0,0,0,0,0
466.23265726688925,0,0,0,0,0,0,0,0,0
485.59129406271677,0,0,0,0,0,0,0,0,0
332.77915296220954,0,0,0,0,0,0,0,0,0
331.1772920573713,0,0,0,0,0,0,0,0,0
688.403054738131,0,0,0,0,0,0,0,0,0
481.27538105043897,0,0,0,0,0,0,0,0,0
381.31440777529684,0,0,0,0,0,0,0,0,0
501.5098910153637,0,0,0,0,0,0,0,0,0
416.50050504839635,0,0,0,0,0,0,0,0,0
624.0957352858301,0,0,0,0,0,0,0,0,0
692.5323443534114,0,0,0,0,0,0,0,0,0
327.6238641733437,0,0,0,0,0,0,0,0,0
684.8055360595785,0,0,0,0,0,0,0,0,0
392.4721440408491,0,0,0,0,0,0,0,0,0
555.3197415003383,0,0,0,0,0,0,0,0,0
403.5861413028532,0,0,0,0,0,0,0,0,0
328.0077479757476,0,0,0,0,0,0,0,0,0
448.1961856121699,0,0,0,0,0,0,0,0,0
676.3873710787237,0,0,0,0,0,0,0,0,0
668.6948411053079,0,0,0,0,0,0,0,0,0
229.71974161226322,0,0,0,0,0,0,0,0,0
496.2320651872039,0,0,0,0,0,0,0,0,0
345.7277033258144,0,0,0,0,0,0,0,0,0
474.16656732514053,0,0,0,0,0,0,0,0,0
624.4174922419064,0,0,0,0,0,0,0,0,0
489.17837637803285,0,0,0,0,0,0,0,0,0
240.76137715738844,0,0,0,0,0,0,0,0,0
392.98703473116916,0,0,0,0,0,0,0,0,0
367.51388371293524,0,0,0,0,0,0,0,0,0
554.1876740041689,0,0,0,0,0,0,0,0,0
372.4291475619846,0,0,0,0,0,0,0,0,0
633.37787973291,0,0,0,0,0,0,0,0,0
557.2408960243756,0,0,0,0,0,0,0,0,0
282.42131926966084,0,0,0,0,0,0,0,0,0
320.3783706294054,0,0,0,0,0,0,0,0,0
271.49942423276974,0,0,0,0,0,0,0,0,0
462.9935585143395,0,0,0,0,0,0,0,0,0
224.9960534617416,0,0,0,0,0,0,0,0,0
329.160037967653,0,0,0,0,0,0,0,0,0
631.0366070063048,0,0,0,0,0,0,0,0,0
618.7484841885716,0,0,0,0,0,0,0,0,0
663.3027230826967,0,0,0,0,0,0,0,0,0
931.4960790515963,0,0,0,0,0,0,0,0,0
432.97952904040653,0,0,0,0,0,0,0,0,0
714.249077670383,0,0,0,0,0,0,0,0,0
571.8326935764488,0,0,0,0,0,0,0,0,0
288.58739344825784,0,0,0,0,0,0,0,0,0
401.17501468921057,0,0,0,0,0,0,0,0,0
594.2564602326136,0,0,0,0,0,0,0,0,0
739.692381553372,0,0,0,0,0,0,0,0,0
337.54624219282914,0,0,0,0,0,0,0,0,0
596.3312343792278,0,0,0,0,0,0,0,0,0
270.42458935923486,0,0,0,0,0,0,0,0,0
374.4287547532358,0,0,0,0,0,0,0,0,0
431.5603488206991,0,0,0,0,0,0,0,0,0
339.948024466299,0,0,0,0,0,0,0,0,0
354.32868007093094,0,0,0,0,0,0,0,0,0
422.2645484287756,0,0,0,0,0,0,0,0,0
603.6379201840351,0,0,0,0,0,0,0,0,0
288.4785601958002,0,0,0,0,0,0,0,0,0
621.7988549849595,0,0,0,0,0,0,0,0,0
677.371239388049,0,0,0,0,0,0,0,0,0
352.22794307131926,0,0,0,0,0,0,0,0,0
279.0668718667121,0,0,0,0,0,0,0,0,0
337.26418401127097,0,0,0,0,0,0,0,0,0
549.3971298912479,0,0,0,0,0,0,0,0,0
350.3470861461544,0,0,0,0,0,0,0,0,0
324.9698995203293,0,0,0,0,0,0,0,0,0
491.8466045611706,0,0,0,0,0,0,0,0,0
538.1895865769163,0,0,0,0,0,0,0,0,0
