cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
142.91810922965533,18282,6185,9921,8169,8043
116.2369234020377,18325,5491,8938,7489,8319
144.0537343663763,18294,5994,9649,8325,7696
156.3178439911525,17207,6092,9869,8481,8167
170.67489860802564,17632,6229,9994,8067,7925
130.3030338328847,17321,5164,9212,8129,7720
115.98994192497945,17691,5317,9293,7085,7915
172.9116127350838,17504,6265,9660,8241,7912
123.30056682870662,17578,5847,9029,7614,7904
159.98468999694526,16901,6027,9881,8657,7733
134.999329518808,17796,5596,9277,8368,8025
125.09882634948609,18746,5669,8968,7299,7842
152.14670556894626,17342,6252,9515,8270,7558
135.1130040280048,17898,5916,9632,7871,8145
149.287115054346,16583,5982,9909,8291,8022
129.296097323313,18539,5925,9191,7312,7815
151.42595114537997,17510,6147,10262,8381,7817
146.74583339960364,17311,5944,10063,8455,7919
178.8151532114534,17304,6762,10183,8804,7606
155.088925527687,16529,5795,10141,8539,7800
141.0632845153483,18230,6010,9604,8352,7538
139.05031026165815,18066,6090,9087,7920,7758
126.19219117060504,17756,5375,9159,8141,7490
132.0775844754342,17958,5792,9272,7622,7967
128.34053341021976,18919,5289,8799,7220,7702
133.89211894671365,18379,6148,9490,7654,8189
135.85482940624084,17929,5865,9334,7930,8118
148.22339156891545,17464,5996,9742,8319,7853
158.25699801424585,16741,6033,10048,8952,7974
143.3753159800733,18098,6072,9488,7855,7929
130.71124108438025,17694,5634,9357,7469,8013
144.60263644428764,18424,6188,9679,7996,8031
131.86975633270205,18033,5614,8817,7870,7854
165.31439417347306,17764,5930,9815,8315,7578
178.60386570846023,16649,6388,10817,9378,7816
208.33808563685855,16777,6590,11253,8481,7593
154.296082515281,17711,6262,9356,7971,7587
140.96875234371294,17924,5784,9598,7868,7618
155.16623999822545,16633,6093,10049,8422,7522
132.06969125575054,17354,5581,9338,8017,8313
192.74005869875268,16808,6397,10633,8866,7793
133.044740165963,18133,6075,9528,7810,8285
119.58465953720906,18461,5332,9112,7618,8270
129.05262358157273,17812,5785,9811,8189,8146
184.9278868636714,16878,6458,9831,8824,7140
154.08864850671978,17308,5705,9818,8668,7870
132.53598507322565,17486,5883,9222,7568,7944
112.08455933131299,19015,5814,8304,7338,8172
145.62956724979898,16935,5989,9528,8328,7516
159.88863717633,17020,6064,9746,8694,7657
142.00660927566648,17384,5827,9251,8010,8064
162.52729932093922,16738,6241,10072,9027,7536
147.15420296668768,17945,6077,9768,8305,7831
128.5588154459877,18647,5665,9109,7830,8163
115.42479803057937,17991,5334,8704,6903,8124
143.4887926088949,17710,6059,9165,7809,7552
121.23650014333714,18241,5548,8884,7282,8011
145.48455900245938,17488,5985,9747,8111,7877
134.00911966702353,18448,5843,9549,7720,7753
156.024384513922,16533,6205,10454,8868,7669
153.24413619645009,17678,6120,9688,8166,7410
140.9856709907145,17005,5640,9823,8501,7707
114.41734174719628,19068,5448,8726,6875,8199
159.04158525293008,16509,5894,10694,8947,7542
128.01373017355772,17635,5601,8714,7622,7723
