cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
32.28946120528828,957,1018,7,18,0
22.350953345832316,939,1044,8,9,0
22.5926408813383,964,1024,3,9,0
17.712135599276518,937,1043,4,16,0
58.17663840869759,951,1039,4,6,0
28.41087016086531,967,1011,8,14,0
14.718864532938749,949,1033,5,13,0
16.225490869372425,943,1038,6,13,0
16.637327274302596,1003,977,1,19,0
46.564142041066965,995,992,5,8,1
27.73098975350323,978,1003,2,17,0
18.277234845505017,922,1056,3,19,0
23.408484594776873,958,1020,2,20,0
16.07440062167896,926,1041,3,30,0
20.06726142038568,942,1035,4,19,0
14.808317166068745,960,1015,4,21,0
11.485452316009258,925,1049,2,24,0
19.559800821448697,924,1052,8,16,0
34.153829121747314,946,1031,3,20,0
44.621073849537645,981,999,2,18,0
21.1749381706462,910,1069,5,16,0
17.218983252609537,913,1071,5,11,0
15.140122874748375,987,989,3,21,0
15.065464543715922,1000,976,2,22,0
32.083101893259375,934,1044,6,16,0
37.41816482828207,997,982,5,16,0
73.81178028044253,1034,951,2,13,0
14.306657020520355,951,1035,1,13,0
16.400077973534376,920,1057,4,19,0
16.866328068139488,941,1029,7,23,1
16.768138467738186,977,996,4,23,0
27.88904381009309,910,1067,3,20,1
23.306449463232514,978,1002,4,16,0
56.62129146249766,983,991,7,19,0
17.734670184569822,966,1010,5,19,0
12.691178033104503,980,993,6,21,0
14.772684888671852,968,1010,3,19,0
10.108211792139258,916,1066,4,14,0
14.402917243747526,915,1062,4,19,0
24.91403016109337,963,1018,5,14,0
41.13371164250014,972,1008,3,17,0
20.51293290387305,910,1065,4,21,0
14.622280687742084,902,1070,5,23,0
17.921746392633743,995,980,6,19,0
20.518604654501075,932,1053,1,14,0
34.385921455649644,931,1046,1,22,0
22.383954942145564,953,1019,2,26,0
16.917422185682813,963,1019,4,14,0
36.52776643095184,979,996,5,20,0
27.295046366259868,972,1001,5,22,0
29.234548059938568,940,1036,6,18,0
29.031987999164507,933,1040,2,25,1
18.19594197945039,972,1002,5,21,0
24.424226327760977,975,1007,5,13,0
21.579988230993848,971,1007,5,17,0
14.750325599545713,971,1010,2,17,0
19.58130649212632,934,1045,4,17,0
19.626653551761876,979,1004,1,16,0
22.35591068201163,957,1033,2,8,0
22.921087766250263,1004,982,2,12,0
22.805003582482353,933,1048,4,15,0
24.38181520012789,929,1041,5,25,0
25.889750879112007,949,1028,5,18,0
13.092292524563724,938,1048,4,10,0
