cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
5.933184705360204,1679,245,34,42,0
5.400628147398311,1681,233,37,49,0
5.882046023380672,1621,281,48,50,0
5.794235259939535,1665,251,43,41,0
5.510878842409482,1676,250,42,32,0
5.354915585992656,1656,247,55,42,0
6.128780387431116,1664,241,47,48,0
5.740963298429746,1632,278,41,49,0
5.223988434830547,1649,258,50,43,0
7.113933561821812,1628,288,48,36,0
4.959742882318497,1662,240,46,52,0
4.669859516938714,1637,280,39,44,0
6.161890279205547,1633,281,38,48,0
6.1139302334666965,1668,238,43,51,0
5.4807965508821335,1637,268,45,50,0
5.772087664389281,1650,268,47,35,0
5.749125645565977,1654,261,39,46,0
7.338359405299395,1664,236,46,54,0
5.61629496298212,1663,255,41,41,0
4.733045477002803,1606,294,44,56,0
5.7817805179892074,1664,254,42,40,0
6.1676531398647665,1647,267,40,46,0
5.93626687346456,1671,259,36,34,0
6.161706854930173,1651,269,35,45,0
5.281649207430617,1656,263,39,42,0
5.257837341674581,1666,252,48,34,0
6.762585483204834,1634,275,49,42,0
6.563339570953366,1652,270,34,44,0
5.609703801622615,1646,265,45,44,0
5.770830990611257,1592,308,53,47,0
5.370696329761151,1690,225,35,50,0
5.334168423228032,1638,270,43,49,0
4.4931937536375015,1648,266,36,50,0
7.467780133779152,1653,263,44,40,0
5.515121606061233,1651,281,25,43,0
5.439041092858068,1642,272,38,48,0
5.793287700860765,1659,256,40,45,0
4.9823172764118775,1629,275,47,49,0
5.5870727282951655,1658,246,43,53,0
6.1193682752004825,1639,276,42,43,0
6.167032652224931,1637,278,43,42,0
6.036916567579434,1650,271,36,43,0
5.474529289555224,1659,270,42,29,0
6.152486613450481,1642,270,51,37,0
4.759983114833728,1637,274,43,46,0
6.029846294949165,1670,244,50,36,0
6.168763119584445,1664,247,37,52,0
4.576818982048599,1663,246,51,40,0
6.1503842837277425,1656,262,42,40,0
5.35183925156087,1643,257,48,52,0
5.334065799987149,1655,259,40,46,0
4.873123116354642,1669,251,41,39,0
