cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
5.440766626436948,173,165,497,165,3
6.354524111798845,138,204,496,162,3
7.72176858982809,132,195,507,166,4
6.181386167601343,141,193,507,159,5
9.43889069296478,157,182,469,192,6
6.90063824178488,142,183,497,178,5
8.027930692074479,157,186,489,168,2
7.720972914601777,161,184,486,169,2
5.454571903285432,160,183,485,172,2
5.641172839939542,151,199,486,164,3
6.398116254385703,159,177,490,174,1
5.063067931610667,143,185,489,183,2
5.620287656927671,147,191,491,171,3
5.449801314354741,134,173,517,176,2
6.5913543432794794,171,182,489,158,1
7.485536735976575,154,201,465,180,5
7.193244028321698,147,176,501,176,5
6.105697689687819,149,186,477,188,7
7.277954361830749,151,213,473,163,2
5.996024820499393,146,179,513,162,6
5.711251550373648,156,179,494,171,4
6.782467370145072,149,192,493,166,4
11.184008108308756,154,184,486,176,1
5.4225541703537345,147,197,513,143,4
5.753142585804164,138,180,491,191,4
7.734836383320019,148,168,508,176,3
7.215156388873413,152,194,500,154,3
5.664238952120427,140,219,489,152,1
9.47247530600312,150,190,487,173,3
8.111104736603862,164,204,459,173,4
6.498856018782159,155,201,473,171,3
6.858597555768439,160,186,482,172,1
6.406130645955195,155,162,494,189,4
6.690800608729913,167,181,472,180,4
7.171201936118857,155,197,482,166,2
4.7760663540106,144,181,487,188,4
5.717535381499559,170,182,477,171,5
8.146868659088637,142,196,497,165,7
8.472005036165802,161,168,495,176,4
7.7219978147220765,170,186,497,147,1
8.356317218656974,173,175,452,200,5
6.090501041438089,167,199,482,152,1
6.226946739330882,167,195,471,167,3
6.231245646349711,162,166,495,177,5
8.143669132489563,142,180,514,164,1
7.730333484649531,176,184,478,162,3
8.658966237764755,152,189,493,166,0
5.448341069122816,128,206,511,155,3
7.9551019417098585,178,189,466,167,2
4.88769431772775,133,194,510,163,1
6.708925029518599,148,190,498,164,1
8.385339080462469,155,206,479,160,2
7.033400570699104,155,190,487,168,0
5.8669835952646405,159,180,497,164,2
7.9147418882010045,141,210,471,178,3
5.166470788049265,142,209,480,169,3
5.491402491258207,149,190,498,163,4
6.9348358265776815,144,177,503,176,3
7.5655785863580896,130,182,505,183,5
7.383829137815537,157,188,495,160,4
8.100066132210506,154,201,464,181,3
6.809451076919655,164,185,469,182,2
5.029323473522022,181,195,467,157,0
6.091080453117105,156,176,486,182,0
6.91449352317058,152,178,499,171,0
6.097375063151504,157,163,510,170,0
6.858601243849037,167,194,479,160,3
7.150706987288117,157,181,499,163,5
7.579181273602012,166,173,484,177,4
5.900337966074078,154,206,475,165,8
7.27330501965604,158,193,483,166,5
5.433175402385846,137,191,506,166,2
7.147017943050492,149,183,504,164,2
6.012859804029752,145,191,492,172,2
6.4387874299960375,132,195,495,178,3
5.890439824568923,145,184,501,170,2
6.387207892130188,164,205,455,176,1
6.345626672861439,147,190,491,172,3
8.59610950225957,150,189,497,164,5
5.625053472403932,139,204,482,175,3
6.146423334728102,136,205,481,178,3
6.604409929502094,166,190,480,164,4
7.360083463267012,151,172,516,161,2
7.0425713478784235,152,190,494,164,1
10.716289405100595,141,185,508,166,7
6.670093172202768,154,196,479,171,4
7.880923475579828,191,176,460,173,1
7.273594191757851,141,177,482,200,5
7.219435155331777,153,181,493,173,0
7.941148348530658,148,176,502,174,5
7.479153072268906,155,180,489,176,1
5.97087515598797,143,193,487,177,4
5.110875137630396,147,175,515,163,6
6.531923653224032,157,198,462,183,2
5.871985790270793,147,202,499,152,4
8.197730149813834,149,200,498,153,1
8.06902275365719,154,180,477,189,3
7.42721174173205,142,187,484,187,4
8.122656716428395,167,189,483,161,2
5.37203089092987,143,192,490,175,5
7.806201957896883,135,188,508,169,3
10.533655849602093,156,191,457,196,0
5.202601774733711,133,187,521,159,2
6.614358101184892,164,201,478,157,5
8.138126511550505,150,179,507,164,2
6.717257095601893,149,169,496,186,6
8.521060022871923,150,195,485,170,1
7.420409751968115,140,182,492,186,2
9.788184683926358,145,186,489,180,5
5.858648864685427,146,195,503,156,3
