cycle_time,spt_policy,fifo_policy,shortest_queue_policy,longest_queue_policy,postpone
22.92182933878456,794,2660,840,706,203
30.44539632267618,760,2686,819,735,224
19.544295917385995,772,2759,819,650,223
17.58546534718339,752,2712,848,688,213
22.18009115713718,761,2663,865,711,216
23.811013066407302,756,2730,823,691,215
18.96014052652496,751,2669,865,715,201
36.06357008063914,747,2746,821,686,249
34.551577134054554,792,2697,834,677,236
38.91329423045047,731,2719,844,706,235
46.86488676215745,825,2669,812,694,215
15.392360921163206,750,2739,807,704,223
21.451172651740926,757,2648,847,748,225
24.490647862636983,817,2664,829,690,196
38.88725818403814,774,2669,869,688,241
31.212433832169154,747,2717,876,660,222
20.571089663966085,778,2675,868,679,211
21.93560812258788,758,2665,886,691,211
21.522649918495937,766,2657,844,733,252
22.106510044519545,788,2668,836,708,229
23.08570147002346,796,2670,839,695,229
23.834693603059193,775,2681,855,689,231
17.607786183040183,765,2679,857,699,231
22.1108705753625,762,2676,857,705,205
33.749593555641596,783,2713,826,678,221
25.10438462969022,772,2652,889,687,208
23.83837294613799,777,2656,863,704,235
19.88066623361136,762,2722,868,648,197
45.92907021002329,786,2660,864,690,229
40.59884682271616,770,2641,884,705,222
18.66586793650206,794,2752,790,664,219
28.63200150879403,816,2626,883,675,219
36.412692722035494,775,2664,868,693,233
21.812909269241775,731,2725,904,640,227
30.182419710426736,775,2681,858,686,223
27.068565952405187,796,2625,875,704,216
20.55234692930386,760,2652,909,679,205
30.470010742435917,800,2674,885,641,239
75.87727115063223,781,2747,841,631,233
51.00460875343618,789,2707,820,684,217
24.945703919162153,766,2698,818,718,222
26.981676564680928,788,2700,801,711,228
28.111819224871677,796,2668,841,695,227
47.36313626994607,793,2751,808,648,231
42.94454068845448,771,2611,914,704,239
41.749540022204265,746,2695,880,679,237
19.93921290201724,791,2629,872,708,239
51.943073993014735,784,2697,815,704,233
36.68006577437761,780,2654,893,673,232
15.42354398552946,769,2693,834,704,221
22.308777235653878,853,2637,846,664,216
22.183279237176606,771,2691,833,705,237
22.749623784865584,765,2650,875,710,231
35.5577096196838,791,2648,818,743,201
30.095279783511575,786,2620,863,731,204
18.549444323262808,811,2635,870,684,212
33.81432951206251,803,2712,800,685,228
25.944373510615286,768,2703,863,666,228
76.57722097167576,756,2692,844,708,220
27.19351693810679,751,2677,890,682,199
28.901133985654702,789,2654,856,701,252
19.00395565175165,729,2725,858,688,209
24.55431577064342,781,2646,851,722,237
23.945986328201737,838,2693,800,669,228
17.797886295058245,803,2686,813,698,232
16.79623727849356,765,2705,861,669,222
25.03332958945978,796,2661,812,731,241
28.85165801059296,770,2676,848,706,241
18.928679589151056,803,2656,837,704,235
26.116865790637764,789,2629,843,739,245
25.139694252634932,809,2682,817,692,229
31.01771970925095,783,2727,802,688,224
23.071283282254743,802,2662,837,699,234
19.125734437890934,765,2703,839,693,212
30.116512798485342,779,2627,861,733,225
17.45364721899048,811,2667,795,727,213
20.784210095751888,830,2627,865,678,236
22.932984880806128,765,2693,798,744,239
43.170405984626065,752,2640,912,696,230
41.56036908479856,739,2667,903,691,207
26.899217488387702,805,2666,825,704,201
23.1266627246847,788,2706,843,663,220
33.502271436536695,832,2636,842,690,205
20.34399809522085,832,2659,856,653,239
25.828888225873197,802,2684,845,669,232
35.14706766094248,818,2682,804,696,235
23.10543081912293,764,2707,857,672,220
32.792676192555355,810,2725,829,636,226
19.314734957690806,724,2751,841,684,219
26.55651954713939,768,2641,903,688,243
22.645250467275837,788,2638,837,737,234
18.939986852587566,786,2681,831,702,265
33.341086804691464,733,2720,850,697,227
27.772802450854485,782,2666,871,681,198
28.47774982983124,777,2650,864,709,223
16.7854456672632,765,2720,846,669,207
21.388898513731384,762,2687,851,700,247
18.821741259985224,783,2722,852,643,228
16.99573940022685,770,2646,903,681,208
19.61174398134952,756,2689,841,714,203
22.140197599194828,793,2735,850,622,205
38.456885874713926,828,2621,847,704,232
50.50489961958034,752,2746,852,650,207
31.237564846308764,794,2670,827,709,215
16.94786857858514,834,2671,806,689,203
62.26522242252482,771,2693,842,694,238
21.428263205697938,809,2646,869,676,205
26.399129602566425,766,2676,876,682,220
43.57314034846891,764,2647,900,689,215
27.344475862509203,820,2629,845,706,224
29.471364592113634,794,2659,882,665,213
17.835968823152946,823,2656,849,672,214
26.681873524492413,800,2686,855,659,226
27.203669306355156,772,2682,857,689,229
20.6009972490274,807,2625,884,684,221
22.16820826314478,803,2662,854,681,224
26.83932677870305,785,2608,878,729,227
24.434973749227307,786,2698,845,671,223
36.680560945658534,794,2679,823,704,228
55.670960938854165,799,2636,846,719,209
27.474302842029065,800,2668,892,640,242
18.606342379377033,769,2644,915,672,228
22.839533012232202,788,2684,799,729,202
34.71534389507931,788,2705,852,655,237
60.25258914019738,784,2679,828,709,232
23.12522503832165,736,2702,822,740,223
26.90910322189604,799,2669,839,693,233
25.89441927685286,766,2652,856,726,240
19.83699069896016,765,2654,849,732,230
25.16631326645098,808,2644,835,713,237
23.813792326670857,830,2593,885,692,205
28.710000844859596,817,2644,880,659,234
36.01424547669721,814,2643,830,713,225
52.71548219340953,758,2668,874,700,244
20.80067268411485,778,2656,832,734,229
45.87951629248212,753,2684,845,718,226
25.3029212032261,803,2678,840,679,221
40.57014572201686,806,2665,881,648,244
27.822328864274386,799,2580,888,733,201
18.554283434317156,798,2630,854,718,235
29.446242689504466,844,2641,835,680,206
34.34309254344531,776,2709,833,682,202
29.160168491257107,786,2651,845,718,205
57.128563017281415,777,2690,828,705,243
17.185789414617368,795,2638,899,668,215
14.89001083984797,775,2656,873,696,249
26.787620916429745,753,2719,887,641,233
22.6697430012218,737,2683,867,713,237
35.48942308648314,764,2644,878,714,202
20.452428280940183,785,2688,838,689,234
41.83130039353535,756,2690,854,700,242
18.84342013095155,793,2737,810,660,230
21.152421023537755,781,2671,872,676,223
20.675172490568315,752,2705,849,694,255
36.96003214077252,774,2626,860,740,226
20.901924390717376,761,2717,832,690,228
29.68999165386296,746,2649,890,715,257
27.677218233985997,740,2695,839,726,251
19.05491690051182,775,2656,847,722,237
26.23236887549154,718,2748,822,712,204
25.303843960324606,749,2646,878,727,217
27.51165994311898,757,2739,846,658,227
21.055769322912766,765,2751,825,659,238
15.685346301055553,777,2677,862,684,221
23.85984248541879,784,2675,905,636,221
26.301330853866663,715,2702,876,707,249
21.424546050705683,782,2646,860,712,213
32.74242344370718,728,2694,841,737,208
24.09840559412022,770,2702,845,683,221
26.3497398068681,816,2639,871,674,217
23.400365587225807,798,2718,803,681,228
70.7333831085232,757,2732,837,674,199
19.010260011280632,781,2687,836,696,207
50.20597422931633,793,2741,802,664,226
20.160059522474256,795,2636,865,704,205
20.38922404476788,787,2680,853,680,211
21.090241714480527,761,2683,809,747,234
29.757992448144893,787,2737,825,651,255
22.965210375549976,762,2724,815,699,250
26.6277861267825,724,2689,886,701,217
16.707532314184984,748,2685,854,713,220
24.304873406832524,769,2675,840,716,245
26.222766966292536,804,2590,862,744,224
25.623759756203057,759,2693,797,751,224
19.810986799032378,805,2692,788,715,257
18.89841127778028,831,2642,821,706,204
23.881534785649023,795,2667,863,675,237
48.40191582712326,772,2696,856,676,229
55.50148175005631,694,2763,879,664,221
42.832870740834935,759,2668,871,702,220
23.996631988289224,798,2647,832,723,240
19.348088606300553,786,2707,816,691,220
32.24010277107335,770,2627,862,741,221
25.34585498159305,768,2678,852,702,233
30.226361984591275,805,2640,851,704,213
77.14907566826659,748,2774,779,699,255
30.61531041902567,769,2687,845,699,209
23.980801289361793,776,2695,836,693,245
20.84439670011539,757,2676,871,696,212
51.24112087232218,744,2731,824,701,238
23.781729802952796,772,2691,852,685,223
22.717861707366357,769,2690,847,694,231
21.666026889817623,804,2606,880,710,241
56.44475334588271,754,2743,821,682,211
29.447073938284543,832,2614,883,671,237
38.08967131757857,756,2630,897,717,259
25.250543521252723,806,2713,823,658,236
18.896527024354373,812,2667,824,697,202
21.632557412953002,801,2689,842,668,211
27.572318679536778,763,2624,905,708,204
19.82878656231012,802,2667,855,676,231
17.644814039708887,741,2706,881,672,211
22.763838154793277,763,2677,858,702,208
35.617389864195836,757,2668,863,712,234
19.654627467181577,774,2658,894,674,215
20.520527121021804,780,2669,867,684,241
30.350219482007212,787,2688,867,658,236
31.32525991258687,772,2723,837,668,260
25.49830890844957,741,2716,854,689,241
25.240234519249682,795,2625,865,715,228
17.944270341703046,809,2698,853,640,252
23.248594812649692,731,2682,876,711,228
19.354791167917696,769,2706,887,638,215
32.416981797684215,736,2705,841,718,223
26.802819502987195,769,2709,853,669,215
19.98323019244509,766,2674,821,739,225
29.52462154369469,771,2640,864,725,229
23.101248685302835,799,2632,861,708,254
28.62665780651548,776,2658,879,687,252
30.7980077134203,800,2635,832,733,240
21.112148979433435,764,2676,848,712,212
19.409178280546758,770,2663,848,719,228
21.094513949242007,812,2663,818,707,248
56.51430556343929,759,2746,817,678,236
18.889805662697157,777,2656,868,699,230
33.948061544954555,808,2646,877,669,215
29.75114297912025,769,2683,867,681,233
70.01465705602631,719,2790,841,650,203
29.767216155790628,801,2648,864,687,228
16.146912284249893,784,2693,841,682,234
20.66878213922354,805,2663,874,658,241
29.13200410420197,777,2660,873,690,234
22.59404104134269,781,2625,879,715,215
23.305597751989186,771,2689,861,679,239
20.962552404262514,830,2635,881,654,218
24.93890190941012,769,2631,878,722,258
40.730197359774046,766,2672,869,693,197
21.5576131277717,806,2672,831,691,248
20.53032014062021,779,2670,858,693,215
28.365242956749974,784,2695,846,675,239
23.791879241018847,782,2649,876,693,232
28.94472891503462,748,2685,844,723,236
59.74942142884566,741,2743,822,694,190
20.690579467947114,817,2637,827,719,219
32.09457538110251,751,2696,888,665,218
41.75852885523098,766,2686,881,667,209
18.644043742257775,751,2687,833,729,238
18.998347441321524,805,2642,855,698,212
22.79423510954417,808,2642,879,671,213
36.87313354686095,798,2684,833,685,239
18.534817341869562,754,2748,845,653,202
22.608651582497068,763,2747,836,654,226
31.117174834243823,771,2646,888,695,218
15.76388888919026,812,2613,883,692,226
24.323046363366952,788,2679,857,676,221
21.159425951454843,760,2685,853,702,188
24.90929185232779,805,2678,828,689,239
76.46168596950163,786,2658,859,697,197
27.56326474307697,831,2609,853,707,228
27.88773956064867,809,2671,844,676,227
37.03148612040069,810,2685,841,664,258
40.949960176513386,780,2679,833,708,223
22.22645954968112,767,2633,849,751,218
36.449438723825125,760,2660,879,701,222
25.255166049615596,774,2679,854,693,230
16.742687180447835,838,2623,861,678,225
22.51819124367309,774,2664,853,709,213
28.164462418288018,780,2708,842,670,229
20.57027215618782,785,2663,859,693,193
28.981579019288393,777,2657,879,687,253
15.976507200778459,782,2621,882,715,211
27.646318395436836,778,2688,855,679,210
24.039107708532796,821,2655,834,690,225
37.34754548602243,756,2687,866,691,207
22.52896761632811,816,2651,851,682,204
23.3106510650696,789,2701,831,679,217
25.0542543245141,811,2653,834,702,234
22.090701997989015,755,2669,903,673,237
25.273175216083764,757,2689,845,709,253
27.351756990663215,777,2696,828,699,219
49.983954790428974,771,2688,849,692,210
28.148259504686227,803,2688,870,639,246
22.578971690550805,743,2745,826,686,217
17.63728052296644,758,2723,841,678,226
21.200248442187373,752,2685,875,688,229
29.139135908563073,793,2703,802,702,217
44.89730438439542,798,2600,903,699,212
25.69427295735149,768,2704,830,698,209
42.07748599381762,773,2673,863,691,229
18.305241567849453,780,2631,905,684,236
