Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,121.98411846951124,1338,1300,1302,1250,1143
2,194.34095152551492,1511,1498,1133,1022,833
3,173.6216630186028,1659,1538,1113,928,692
4,164.93276167550474,1662,1444,1240,900,553
5,169.7104438509451,1654,1431,1281,836,421
6,127.73652080126725,1639,1284,1354,877,389
7,102.35850947726547,1824,1172,1304,868,336
8,150.29461853960353,1697,1412,1316,737,220
9,116.00922003538355,1732,1518,1213,747,247
10,190.83182406818608,1684,1652,1062,810,181
11,155.41153963019246,1665,1722,985,862,186
12,185.39705889026675,1844,1684,859,811,145
13,161.59056971780964,1860,1758,809,719,123
14,164.6357266937966,1884,1858,740,716,96
15,182.52611058525034,1905,1875,765,655,76
16,190.74165086414766,1895,1891,773,621,69
17,153.11335399006646,1821,1978,803,562,49
18,214.91674257747638,1744,2162,857,435,37
19,192.61220764274574,1824,2190,741,421,45
20,178.65329287749827,1549,2216,897,520,26
21,184.39821449358232,1422,2329,847,602,18
22,214.96184375126407,1279,2414,839,610,20
23,193.46025363083805,1221,2502,870,607,10
24,242.5704800084946,1188,2679,783,560,11
25,219.8823019897134,1201,2746,807,442,15
26,181.09222728218828,1185,2617,929,457,14
27,278.90159784221504,1224,2780,777,379,12
28,256.863252716826,1302,2764,814,306,8
29,160.69214082851016,1327,2660,802,395,6
30,181.15941953208187,1214,2809,811,344,4
31,146.96856662690027,1181,2859,794,382,7
32,302.5997665835935,1169,3089,584,324,3
33,293.3304376856711,1166,3149,567,284,5
34,216.74029193769508,1179,3242,529,258,1
35,264.1069726707585,1222,3258,440,228,1
36,254.52756490997368,1224,3253,460,273,1
37,250.89424790414301,1253,3283,443,255,5
38,300.8797783300972,1135,3447,437,223,3
39,286.32219702069256,1138,3372,453,231,1
40,318.1885392159555,1128,3415,457,240,0
41,217.4653217286263,1218,3173,556,253,2
42,251.13084144055023,1198,3341,524,175,3
43,277.69488559827533,1086,3459,482,179,1
44,280.2028275108367,972,3456,522,214,0
45,204.73830956772463,1131,3203,554,290,2
46,147.04812511199532,1214,3025,610,359,3
47,261.17926652542354,1117,3360,500,265,4
