Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,111.86223662132886,486,511,507,496,501
2,120.92572054131942,511,477,507,505,480
3,18.733377918979087,423,576,498,503,417
4,52.68217399275315,429,559,474,538,426
5,39.521606156881504,424,633,476,467,348
6,41.31218228671666,433,646,508,413,324
7,41.95915367738887,471,598,527,404,281
8,19.17913649699092,478,607,558,357,219
9,19.763718881603825,433,624,583,360,224
10,16.72667626849756,360,639,627,374,189
11,20.906342094815212,387,646,605,362,192
12,11.305553676430367,452,713,577,258,153
13,20.521625724545988,420,768,528,284,140
14,19.088584342409114,397,837,480,286,123
15,23.881983171877,425,868,469,238,110
16,17.20324109900701,430,874,471,225,123
17,9.784745714223495,421,1001,400,178,84
18,14.88982329622851,397,957,428,218,87
19,11.374474593412147,370,1074,375,181,55
20,10.379198166293438,352,1096,394,158,56
21,11.578604633152079,368,1139,340,153,71
22,11.855343352539483,295,1258,315,132,61
23,20.09403851382589,293,1239,341,127,45
24,10.066884598624648,293,1278,275,154,39
25,6.4846172181849235,335,1230,285,150,30
26,9.819165276833726,333,1234,288,145,38
27,12.678434318639718,384,1117,341,158,33
28,11.818954482848467,369,1140,316,175,30
29,14.882933652270466,313,1258,271,158,29
30,8.329328504750755,314,1291,258,137,32
31,12.19245798156192,322,1274,281,123,25
32,7.631067788462991,234,1382,229,155,21
33,11.898318770030452,280,1325,260,135,23
34,10.43429555278934,257,1373,209,161,13
35,11.809707237113106,240,1401,183,176,17
36,9.392904006032332,238,1421,176,165,22
37,7.082854882244819,276,1396,190,138,10
38,16.080441881559807,305,1328,200,167,15
39,8.013545903255068,338,1342,174,146,17
40,17.101448596413757,350,1372,144,134,14
41,13.696289890541605,352,1326,172,150,18
42,9.247374055051397,325,1402,135,138,10
43,7.513413893607423,301,1446,135,118,12
44,8.773697341824336,261,1481,147,111,9
45,9.7427087904621,243,1464,184,109,9
46,7.903355365724916,266,1473,144,117,9
47,11.4227287461605,235,1515,141,109,7
48,13.940439251311298,205,1561,137,97,7
49,8.706253539247662,182,1583,151,84,3
50,10.646689757952013,160,1653,123,64,7
51,9.870211972511123,166,1624,129,81,6
52,9.039063574385162,134,1687,96,83,4
53,7.789723766403511,139,1675,98,88,5
54,8.057537417221639,148,1682,92,78,7
55,7.1790152063060795,137,1665,95,103,4
56,9.530323476870851,121,1685,104,90,3
57,9.271535753663054,126,1696,99,79,2
58,7.449772968194761,106,1718,108,68,5
59,9.94711424732077,110,1736,80,74,5
60,10.40217932613152,100,1728,85,87,2
61,7.7885371543335165,107,1752,68,73,3
62,9.887329189940127,108,1735,92,65,6
63,11.127141169353514,77,1778,79,66,4
64,7.1421061949452955,94,1761,85,60,1
65,7.129729190634697,74,1789,74,63,2
66,8.154312099391758,79,1812,64,45,1
67,8.941546766728395,68,1828,62,42,2
68,8.313920642344959,95,1817,58,30,2
69,13.605434889687567,73,1834,48,45,5
70,12.752990402663677,88,1787,65,60,5
71,9.832700133141886,106,1770,57,67,0
72,10.209846489780693,105,1781,55,59,4
73,10.691592584564962,126,1732,70,72,3
74,8.875988749869236,96,1772,79,53,5
75,13.858235267629555,95,1733,86,86,2
76,7.94569720922783,85,1761,88,66,5
77,9.003853697609898,88,1776,65,71,4
78,13.581741900111462,126,1716,73,85,5
79,8.872169406567386,114,1712,80,94,5
80,11.38798074535928,95,1743,85,77,6
81,7.515826722233615,90,1753,77,80,5
82,7.4246827065447105,96,1749,68,87,4
83,14.034804465373979,65,1760,79,96,4
84,11.880460798552074,63,1766,74,97,4
85,9.529020343108868,70,1759,69,102,3
86,11.028714439713639,76,1778,65,81,2
87,7.8149500151845785,62,1771,89,78,3
88,9.163958324331523,89,1726,74,111,5
89,12.677234381957684,77,1756,59,108,3
90,10.55792256516326,79,1730,72,119,1
91,8.117695385789395,88,1738,77,97,1
92,9.410582165294402,65,1751,62,122,3
93,9.73091604952232,97,1713,91,99,3
94,16.572558192676087,91,1713,87,109,3
95,10.591461969677598,92,1716,78,114,3
96,9.005644641700725,100,1718,62,120,4
97,9.710296544418464,100,1702,82,116,1
98,10.176483386623408,124,1695,69,112,0
99,8.74007438957437,120,1676,78,126,1
100,13.616855607716959,140,1687,50,123,2
101,7.64349907215323,104,1720,59,117,2
102,8.17691599352893,93,1707,62,138,2
103,8.65885790009398,103,1669,59,169,3
104,9.190464526907071,89,1677,67,167,0
105,9.125888140955233,103,1671,58,168,0
106,10.118535690198268,80,1676,53,191,0
107,7.301379296009918,73,1676,40,211,1
108,6.875219504514977,93,1639,46,222,2
109,13.129089224218683,89,1594,47,270,0
110,10.89731396030565,79,1669,36,216,0
111,8.413998868661348,62,1713,37,188,1
112,8.05143966862137,67,1730,35,168,0
113,8.215720211583783,78,1678,28,216,1
114,7.699199440279283,79,1707,35,179,2
115,8.461838029227962,101,1664,36,199,1
116,9.119379149836837,109,1669,21,201,1
117,11.687589314831936,106,1628,29,237,2
118,11.479415486281793,110,1612,19,259,0
119,10.870650266082933,121,1598,32,249,0
120,8.357799884018716,106,1631,34,229,0
121,9.895235064545604,100,1584,40,276,1
122,8.879133208407287,92,1594,39,275,0
123,10.185908495226386,71,1601,49,279,1
124,8.511306334509833,60,1664,43,233,2
125,8.807869844778619,73,1639,33,255,0
126,7.319785589824858,61,1677,36,226,0
127,6.561120911098605,61,1692,34,213,2
128,6.956916983569604,73,1692,29,206,0
129,7.710664300329703,57,1705,42,196,2
130,7.965218988508577,58,1714,54,174,2
131,8.725761292955216,88,1680,36,196,0
132,8.735170980520227,67,1706,31,196,0
133,12.464903082962401,64,1693,36,207,0
134,10.328800259044112,81,1703,33,183,1
135,8.99529802724004,69,1711,35,185,0
136,8.424898386006133,63,1767,26,144,0
137,11.394161587955526,70,1763,18,149,1
138,8.891370734930273,88,1740,25,147,0
139,7.76371447731428,78,1740,25,157,0
140,10.181873103864971,72,1720,17,191,1
141,10.770873036541474,59,1748,28,165,0
142,8.981808789318794,70,1707,19,204,1
143,15.636299284702611,77,1725,23,175,0
144,8.282428575181358,70,1694,30,206,0
145,8.058753351908173,64,1651,24,261,0
146,14.020360302663585,62,1664,21,253,1
147,11.402643595831789,83,1658,30,229,4
148,7.8083733078901325,62,1658,35,245,0
149,9.59762271439017,65,1678,41,216,0
150,9.018498928532637,59,1710,33,198,1
151,9.284255671670762,62,1732,25,181,3
152,33.723505552722834,56,1741,29,174,2
153,8.546439589557279,54,1746,21,179,1
154,10.259918608495354,58,1758,28,156,3
155,8.262229477584226,52,1758,26,164,3
156,7.902388781675699,49,1767,18,166,2
157,6.5624909317840565,46,1794,19,141,1
