Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,95.38992917429675,480,517,498,505,468
2,140.50824289228652,495,520,498,487,447
3,45.96693923099507,407,503,539,551,373
4,74.99589652611382,449,497,536,518,379
5,77.46600273001972,426,530,491,553,314
6,70.37852909759299,366,582,469,583,283
7,36.380750730273434,361,572,480,587,242
8,44.739723919325485,312,643,376,669,249
9,15.66150630153518,321,580,432,667,218
10,18.281591861471338,319,527,420,734,187
11,26.408228895636356,337,537,399,727,177
12,25.71297521034706,341,531,430,698,154
13,35.56919123890855,369,496,449,686,147
14,33.161978668201726,321,545,454,680,141
15,30.00480446609458,277,579,474,670,116
16,30.22970899450404,260,561,471,708,122
17,23.07566983938051,283,548,365,804,86
18,23.854481610336475,301,497,381,821,119
19,13.593416720939274,305,489,350,856,76
20,17.191407571274677,290,527,322,861,63
21,33.01907543582648,316,561,303,820,57
22,15.116419423032218,240,645,250,865,61
23,16.586845643586496,240,598,240,922,64
24,16.215559275863676,199,684,268,849,63
25,13.812965066018526,194,710,287,809,43
26,16.226766996017073,215,779,277,729,46
27,45.4379597516382,234,746,335,685,38
28,31.669303049281783,196,783,326,695,42
29,14.696519323099976,271,705,274,750,36
30,21.762315504019185,265,673,295,767,36
31,18.76124883292266,253,755,263,729,32
32,17.91413417468596,214,800,219,767,34
33,28.265076562705364,229,761,198,812,28
34,18.700858202508506,252,746,208,794,30
35,15.397412227926578,260,764,231,745,16
36,12.312305324746026,250,707,229,814,27
37,43.6615638760031,214,606,272,908,22
38,9.980749714719508,224,613,264,899,27
39,25.212347931290815,265,604,298,833,23
40,16.142565223999643,240,590,311,859,28
41,18.093258893750523,240,558,321,881,28
42,28.777011965307786,266,630,379,725,26
43,18.744537518604297,266,615,379,740,21
44,10.81552143481124,297,672,367,664,18
45,29.24399339504804,257,754,362,627,15
46,20.615618002044055,308,684,398,610,21
47,18.91055951952219,235,798,289,678,15
48,18.001530709856617,237,778,300,685,15
49,27.28655722986905,218,844,270,668,9
50,14.180743329056481,193,856,290,661,7
51,18.795310141881618,181,835,273,711,9
52,17.94510392665759,237,792,256,715,5
53,38.22500554937673,226,771,243,760,12
54,16.978229683693577,226,778,234,762,11
55,17.378517932198914,258,735,272,735,10
56,14.090828408419222,290,765,273,672,9
57,22.764065526002355,276,656,327,741,12
58,12.895616800132293,280,644,349,727,4
59,26.466227643372655,311,601,332,756,5
60,19.454396079118386,283,589,370,758,8
61,17.992824250802162,259,594,382,765,4
62,84.673680278521,263,614,334,789,5
63,34.22123890423311,216,658,302,824,6
64,16.558691216479325,241,630,315,814,4
65,26.210614928834143,204,642,341,813,7
66,25.84048155088139,195,617,357,831,4
67,15.803363687429043,225,694,288,793,5
68,16.02215511436504,238,719,285,758,10
69,26.68025923876911,216,663,319,802,6
70,13.313250583745447,194,676,318,812,3
71,16.589821049351023,209,688,258,845,3
72,16.674027431660384,238,629,284,849,2
73,45.596003419849644,241,642,306,811,5
74,15.825703495404367,257,611,311,821,4
75,14.84343354793456,245,688,258,809,3
76,26.37569301664913,258,720,251,771,2
77,17.02867756161241,288,697,227,788,7
78,22.338436141611975,285,672,244,799,4
79,14.301324262576955,316,695,193,796,2
80,18.99389619918174,285,684,238,793,5
81,16.623831341371925,259,687,260,794,3
82,27.15158035454875,227,745,215,813,4
83,13.277414508403547,224,743,212,821,1
84,11.701265429321504,197,770,231,802,4
85,28.96088907045275,213,833,200,754,2
86,20.70442269717654,192,784,226,798,3
87,25.216817046185568,201,815,179,805,0
88,11.36055600354173,206,820,229,745,0
89,12.316140850091392,196,850,191,763,6
90,19.535595625099077,222,820,239,719,0
91,28.415373535327102,249,779,240,732,3
92,24.674433508038142,215,795,254,736,4
93,20.408433934731107,276,794,234,696,1
94,12.513963222734832,268,821,230,681,3
95,19.1366986283531,254,787,243,716,2
96,18.5192765522135,221,792,249,738,1
97,35.161527105609025,241,794,255,710,1
98,13.674922884042823,193,870,254,683,2
99,35.36278030217822,159,915,264,662,2
100,12.494838507064644,178,870,219,733,1
101,32.75376413741244,164,857,203,776,1
