Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,random_policy_actions,postpone_actions
1,40.650177687531695,343,328,329,334
2,14.751842190774932,341,310,349,336
3,21.868368638285926,332,321,347,354
4,13.858556710381135,341,331,328,313
5,11.098612285087672,313,353,334,326
6,12.130949078138364,294,364,342,294
7,16.97380947449204,285,363,352,281
8,16.00499820179936,312,356,332,382
9,12.821783550985383,290,352,358,303
10,13.112196550163096,326,351,323,328
11,12.932589268819196,345,367,288,334
12,11.82768238908648,334,370,296,279
13,9.282625220898142,285,402,313,229
14,6.438010682997629,254,439,307,237
15,8.34236892148,282,409,309,212
16,13.192728518837631,274,423,303,210
17,9.53071157006357,254,465,281,279
18,7.640443225840236,221,482,297,285
19,7.882136847018957,236,461,303,240
20,8.340099610115047,230,489,281,270
21,6.125524996654825,218,512,270,204
22,8.887758818295135,223,510,267,231
23,6.95315706477609,215,506,279,277
24,8.11916054217498,220,524,256,244
25,6.396364116827796,230,526,244,215
26,8.311032657911273,218,516,266,252
27,7.128412925393445,254,464,282,218
28,8.948851189471,254,501,245,214
29,7.957871532257977,237,503,260,222
30,6.8563736311789905,215,460,325,163
31,6.864297684857366,241,442,317,194
32,6.990255911333948,233,466,301,157
33,6.598330688276944,225,410,365,192
34,6.566081669884811,264,410,326,173
35,8.002754738962723,235,397,368,162
36,6.294552078967062,243,387,370,197
37,6.241248117570836,227,373,400,188
38,6.706239761784007,203,406,391,206
39,5.7221659921821715,258,353,389,196
40,8.434337921732723,235,363,402,163
41,8.912195365918722,229,314,457,206
42,7.008809083123884,249,322,429,155
