Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,48.66120620056065,510,494,502,494,462
2,86.15369461391812,501,498,500,501,493
3,114.27340184114283,470,637,390,503,417
4,44.43804287150038,486,616,412,486,363
5,19.237444289884532,472,603,421,504,327
6,15.621328473976945,425,634,390,551,303
7,23.542805997048973,455,711,339,495,242
8,24.77153232188324,469,775,309,447,233
9,20.188132055508344,487,782,280,451,213
10,11.151027135413306,467,808,268,457,210
11,16.98272042132959,473,855,262,410,186
12,12.474187982575202,474,991,206,329,135
13,10.232330110639118,455,1000,215,330,173
14,11.107345284780298,388,1053,259,300,126
15,13.201816115449946,356,1123,274,247,108
16,9.457242954689699,357,1134,235,274,126
17,9.9810351894204,309,1256,215,220,88
18,12.901937376536935,325,1245,227,203,100
19,25.73515234570288,305,1292,202,201,89
20,7.934871367990944,312,1252,205,231,61
21,11.834606976733228,322,1234,213,231,85
22,10.812222149474213,353,1154,230,263,52
23,13.938396364917685,361,1143,225,271,61
24,9.93386447044094,349,1182,231,238,42
25,8.91909482129028,317,1260,175,248,52
26,8.28100492677194,301,1291,181,227,37
27,10.07725695313438,316,1303,167,214,33
28,8.368838911119186,308,1301,168,223,31
29,13.573843212613216,347,1368,142,143,44
30,9.950992937954021,358,1341,127,174,34
31,6.941088409132409,381,1367,105,147,23
32,12.42394719631147,345,1417,111,127,33
33,11.460473639179977,332,1438,113,117,26
34,10.675522697621764,314,1447,135,104,31
35,12.098770947405542,264,1502,133,101,29
36,7.871078227868904,262,1513,125,100,34
37,6.80866726972438,218,1527,129,126,17
38,8.345711568347337,261,1505,116,118,27
39,8.868927577341687,203,1588,115,94,20
40,10.039389860157842,228,1572,90,110,16
41,7.175979577702808,242,1574,91,93,22
42,9.289215269382643,229,1614,74,83,16
43,8.163072492077003,255,1588,81,76,6
44,11.063012295960634,209,1618,66,107,8
45,11.09849729952612,196,1634,59,111,15
46,10.207215369451077,175,1668,76,81,14
47,8.40260988599424,220,1627,74,79,8
48,11.479876558073581,239,1598,78,85,15
49,8.61083791006716,215,1643,55,87,10
50,11.166975857151444,160,1664,68,108,4
51,10.237829164989666,145,1689,57,109,6
52,7.5158535476916875,212,1641,59,88,6
53,8.280828464933176,227,1628,47,98,8
54,13.990188335836052,217,1634,56,93,6
55,8.523015269757167,222,1594,69,115,7
56,8.391305302515871,225,1621,52,102,8
57,21.862565978808696,187,1642,65,106,5
58,13.889600887297924,211,1622,65,102,3
59,15.705927516386582,203,1616,75,106,5
60,9.546997795841623,198,1672,54,76,5
61,9.982373312688946,238,1613,71,78,4
62,7.45898494475215,235,1588,67,110,3
63,14.927293807631946,222,1597,79,102,5
64,7.440158483287072,250,1568,78,104,5
65,6.048110114087641,271,1542,76,111,0
66,9.686153098646479,260,1564,61,115,2
67,9.886508661125905,239,1557,71,133,1
68,11.41203307868978,206,1579,84,131,5
69,8.99125943620599,233,1553,69,145,7
70,7.410543402687211,162,1643,70,125,5
71,7.87421146285073,175,1631,61,133,8
72,10.845017664049003,175,1639,70,116,6
73,10.245157621098476,156,1636,79,129,4
74,6.771308701652539,148,1691,77,84,6
75,12.18740367610358,124,1714,65,97,7
76,7.16819672826711,154,1711,47,88,3
77,8.71109258231847,102,1735,52,111,2
78,7.534557357912394,98,1742,45,115,3
79,13.342027215658113,99,1763,34,104,3
80,10.866002789602936,70,1800,38,92,8
81,10.552637099741913,97,1768,38,97,4
