Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,143.9483275130893,1215,1248,1292,1245,1122
2,99.51265952558911,1302,1369,959,1370,836
3,58.419353060619386,1399,1427,953,1221,670
4,32.713503891124056,1340,1493,1015,1152,580
5,27.963361349369883,1244,1634,943,1179,469
6,77.95348123478206,1175,1780,959,1086,400
7,19.143770875746434,1072,2001,980,947,289
8,40.29179215747985,982,2294,829,895,263
9,27.34727773972154,907,2590,670,833,194
10,21.43342685401732,810,2968,498,724,134
11,61.06186176823563,765,3137,488,610,127
12,18.45356307870775,718,3411,395,476,96
13,28.64181929182191,625,3607,357,411,67
14,32.01020206587611,580,3633,384,403,97
15,24.90257915574679,541,3686,377,396,64
16,36.93854422804422,539,3669,390,402,63
17,21.34238270810512,671,3364,509,456,49
18,27.253281373334943,664,3354,522,460,32
19,40.25548574359802,696,3313,561,430,33
20,18.52372456043269,840,3030,621,509,32
21,23.783515192763296,802,3141,589,468,50
22,35.21373029289966,759,3141,622,478,30
23,19.162079598670715,792,3079,622,507,34
24,24.998153062548955,638,3361,556,445,28
25,15.693886902600278,704,3408,484,404,22
26,18.68108900250716,693,3371,518,418,19
27,28.15212733719271,800,3288,538,374,16
28,17.6977712493846,812,3236,618,334,18
29,25.710707526115712,625,3469,557,349,14
30,18.240915618445523,597,3467,613,323,16
31,19.99837511962985,637,3466,575,322,19
32,52.75019344269072,598,3683,460,259,15
33,32.75529961902495,640,3638,455,267,6
34,21.232594110600406,703,3520,497,280,20
35,21.388523325103193,648,3503,546,303,14
36,22.792178981854285,599,3574,507,320,18
37,16.35339777074514,563,3683,495,259,12
38,17.968801610781348,476,3829,466,229,9
39,20.464702342576523,493,3674,554,279,9
40,20.840423699765182,590,3517,589,304,6
41,20.86854688890936,654,3438,583,325,9
42,24.216591212956782,536,3599,528,337,12
43,27.37812880185485,564,3628,452,356,6
44,16.591188623184483,626,3515,443,416,8
45,14.646331868084683,596,3528,366,510,13
46,24.150137267937357,485,3516,457,542,9
47,24.586949093411494,460,3582,377,581,3
48,23.391021512515053,423,3651,332,594,4
49,20.336014746152834,403,3724,310,563,2
50,27.45630897608985,427,3682,275,616,4
51,34.35964322166522,513,3826,214,447,1
52,19.144787265955053,440,3844,213,503,2
53,26.261877125817616,460,3881,185,474,3
54,16.059757855255224,387,3837,257,519,3
55,19.92418817632745,365,3802,274,559,2
56,16.279716265415303,360,3919,203,518,2
57,21.974660794043935,371,3861,199,569,2
58,21.35994873227454,343,3995,162,500,2
59,31.93289461888759,341,4037,118,504,0
60,24.22218248031634,346,3962,142,550,2
61,20.631387598238746,330,3841,137,692,1
62,31.11430252128292,332,3951,115,602,2
63,26.884401387407188,306,3952,104,638,2
64,33.33342815426641,341,3982,95,582,1
65,22.419431739673815,327,3949,97,627,1
66,43.834249244581805,358,4059,117,466,0
67,19.1381734125008,400,3878,115,607,4
68,28.565655053709666,442,3961,117,480,3
69,26.50667597302882,441,3912,141,506,5
70,51.08973363068444,348,4105,126,421,0
71,22.608172704347243,378,3941,107,574,2
72,20.43413997914125,291,3910,122,677,3
73,31.309495642522815,284,3997,108,611,1
74,29.69153030277793,296,3885,133,686,3
75,53.370193618715,249,4065,99,587,0
76,42.87372695451653,250,3951,115,684,3
77,23.7722056088496,323,3782,140,755,3
78,28.55717262305846,283,3875,112,730,4
79,40.120226602651286,295,4004,105,596,3
80,21.98490508348545,317,3914,125,644,0
81,20.851023573626758,306,3825,134,735,1
82,23.30521630931623,307,3869,112,712,1
83,24.308967689489645,256,3869,119,756,2
84,22.11445777512215,247,3847,112,794,2
85,26.29619265117495,218,3861,120,801,2
86,62.980489894750995,136,4303,86,475,4
87,31.008232420349078,238,3956,90,716,3
88,19.541575661699643,255,3870,114,761,6
89,23.78986405086095,239,3978,125,658,4
90,20.149976380430754,228,3891,107,774,6
91,14.916625094994082,250,3892,99,759,3
92,35.75693711829636,232,4020,79,669,4
93,25.960565773594208,299,3881,103,717,8
94,17.923581252938877,263,3879,106,752,6
95,19.940110033590294,192,3904,122,782,3
96,23.3158745069334,183,3862,111,844,4
97,18.627384305222886,172,3882,118,828,2
98,23.707296128558344,212,3946,121,721,2
99,18.323171256723775,178,3908,122,792,6
100,20.125599275891044,178,4016,124,682,3
101,19.833404190620506,186,4033,100,681,2
102,17.650896837448848,185,3897,149,769,2
103,15.96276593833164,161,3852,180,807,0
104,44.69019706811028,137,4234,115,514,1
105,23.35513358702548,154,3889,158,799,2
106,18.13670237141227,194,3848,153,805,1
107,71.01355246523113,102,4477,90,331,0
108,22.06209715971131,177,3947,151,725,3
109,28.696786196517145,176,4072,123,629,1
110,28.645285035215714,158,4162,119,561,1
111,21.3101760569525,111,4099,123,667,0
112,18.17906218005267,134,4025,124,717,1
113,16.799023512074175,157,3978,153,712,1
114,36.035074243988255,149,4125,122,604,1
115,24.301871509090365,182,4017,126,675,1
116,23.225855284728002,202,4014,125,659,2
117,24.818762776791978,147,4134,117,602,2
118,25.07304379376995,125,4122,125,628,4
119,20.649015300542974,152,4034,136,678,2
120,22.04262379754568,179,4025,123,673,1
121,20.820694392769997,146,4003,110,741,2
