Episode,Avg_Cycle_Time,spt_policy_actions,fifo_policy_actions,shortest_queue_policy_actions,longest_queue_policy_actions,postpone_actions
1,175.23165392348605,525,481,506,488,417
2,110.67835730332949,499,515,462,524,457
3,239.53281465587875,571,514,420,495,434
4,150.52847704039183,516,520,452,512,414
5,135.74617770821408,557,502,456,485,354
6,199.67458100712784,630,470,423,477,368
7,144.08014489014363,584,529,444,443,329
8,39.309716443903525,582,557,456,405,277
9,181.95447757182586,605,543,398,454,275
10,43.17826300168879,556,578,397,469,208
11,70.968869367618,575,581,373,471,212
12,18.53528831057512,500,711,351,438,171
13,34.39366603393826,541,681,318,460,157
14,170.2630274159137,491,726,294,489,203
15,25.05720614861973,387,834,295,484,125
16,23.29194598131536,354,863,255,528,99
17,30.162182874473412,343,837,256,564,93
18,45.55157869089244,382,803,238,577,90
19,45.544540878919236,427,871,211,491,89
20,16.830146417479504,410,930,206,454,86
21,61.247328450812134,439,845,193,523,73
22,22.106459914042016,459,805,206,530,67
23,27.07257304973112,439,862,210,489,68
